srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR521140,GSM958940_r1,SRX159600,FALSE,28617970,0,36,GSM958940_1,GSM958940: Mo17_smRNA_rep3; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958940,,GSM958940: Mo17_smRNA_rep3,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521077,GSM958920_r1,SRX159580,TRUE,14643821,14643821,100,GSM958920_2,GSM958920: Mo17_DNA_rep3_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958920,,GSM958920: Mo17_DNA_rep3_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521074,GSM958919_r2,SRX159579,FALSE,64734199,0,50,GSM958919_1,GSM958919: Mo17_DNA_rep3; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958919,,GSM958919: Mo17_DNA_rep3,RANDOM,GENOMIC,Bisulfite-Seq
SRR521075,GSM958919_r3,SRX159579,FALSE,65624669,0,50,GSM958919_1,GSM958919: Mo17_DNA_rep3; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958919,,GSM958919: Mo17_DNA_rep3,RANDOM,GENOMIC,Bisulfite-Seq
SRR521076,GSM958919_r4,SRX159579,FALSE,69081393,0,50,GSM958919_1,GSM958919: Mo17_DNA_rep3; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958919,,GSM958919: Mo17_DNA_rep3,RANDOM,GENOMIC,Bisulfite-Seq
SRR521073,GSM958919_r1,SRX159579,FALSE,67830854,0,50,GSM958919_1,GSM958919: Mo17_DNA_rep3; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958919,,GSM958919: Mo17_DNA_rep3,RANDOM,GENOMIC,Bisulfite-Seq
SRR521072,GSM958918_r8,SRX159578,TRUE,24870431,24870431,100,GSM958918_2,GSM958918: Mo17_DNA_rep2_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958918,,GSM958918: Mo17_DNA_rep2_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521071,GSM958918_r7,SRX159578,TRUE,25055686,25055686,100,GSM958918_2,GSM958918: Mo17_DNA_rep2_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958918,,GSM958918: Mo17_DNA_rep2_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521070,GSM958918_r6,SRX159578,TRUE,24886906,24886906,100,GSM958918_2,GSM958918: Mo17_DNA_rep2_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958918,,GSM958918: Mo17_DNA_rep2_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521069,GSM958918_r5,SRX159578,TRUE,25103665,25103665,100,GSM958918_2,GSM958918: Mo17_DNA_rep2_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958918,,GSM958918: Mo17_DNA_rep2_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521068,GSM958918_r4,SRX159578,TRUE,25625604,25625604,100,GSM958918_2,GSM958918: Mo17_DNA_rep2_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958918,,GSM958918: Mo17_DNA_rep2_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521067,GSM958918_r3,SRX159578,TRUE,25260958,25260958,100,GSM958918_2,GSM958918: Mo17_DNA_rep2_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958918,,GSM958918: Mo17_DNA_rep2_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521066,GSM958918_r2,SRX159578,TRUE,24808372,24808372,100,GSM958918_2,GSM958918: Mo17_DNA_rep2_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958918,,GSM958918: Mo17_DNA_rep2_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521065,GSM958918_r1,SRX159578,TRUE,12185569,12185569,100,GSM958918_2,GSM958918: Mo17_DNA_rep2_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958918,,GSM958918: Mo17_DNA_rep2_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521064,GSM958917_r4,SRX159577,FALSE,63223270,0,50,GSM958917_1,GSM958917: Mo17_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958917,,GSM958917: Mo17_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521063,GSM958917_r3,SRX159577,FALSE,63124864,0,50,GSM958917_1,GSM958917: Mo17_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958917,,GSM958917: Mo17_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521062,GSM958917_r2,SRX159577,FALSE,66597892,0,50,GSM958917_1,GSM958917: Mo17_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958917,,GSM958917: Mo17_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521061,GSM958917_r1,SRX159577,FALSE,63398045,0,50,GSM958917_1,GSM958917: Mo17_DNA_rep2; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958917,,GSM958917: Mo17_DNA_rep2,RANDOM,GENOMIC,Bisulfite-Seq
SRR521050,GSM958916_r1,SRX159576,TRUE,33438378,33438378,100,GSM958916_2,GSM958916: Mo17_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958916,,GSM958916: Mo17_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521060,GSM958916_r9,SRX159576,TRUE,26394034,26394034,202,GSM958916_2,GSM958916: Mo17_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958916,,GSM958916: Mo17_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521059,GSM958916_r8,SRX159576,TRUE,25047679,25047679,100,GSM958916_2,GSM958916: Mo17_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958916,,GSM958916: Mo17_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521058,GSM958916_r7,SRX159576,TRUE,25740389,25740389,100,GSM958916_2,GSM958916: Mo17_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958916,,GSM958916: Mo17_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521057,GSM958916_r6,SRX159576,TRUE,27510273,27510273,100,GSM958916_2,GSM958916: Mo17_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958916,,GSM958916: Mo17_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521056,GSM958916_r5,SRX159576,TRUE,21561105,21561105,100,GSM958916_2,GSM958916: Mo17_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958916,,GSM958916: Mo17_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521055,GSM958916_r4,SRX159576,TRUE,17927513,17927513,100,GSM958916_2,GSM958916: Mo17_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958916,,GSM958916: Mo17_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521054,GSM958916_r3,SRX159576,TRUE,19974885,19974885,100,GSM958916_2,GSM958916: Mo17_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958916,,GSM958916: Mo17_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521053,GSM958916_r2,SRX159576,TRUE,27693559,27693559,100,GSM958916_2,GSM958916: Mo17_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958916,,GSM958916: Mo17_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521052,GSM958916_r11,SRX159576,TRUE,25214677,25214677,202,GSM958916_2,GSM958916: Mo17_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958916,,GSM958916: Mo17_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521051,GSM958916_r10,SRX159576,TRUE,27843962,27843962,202,GSM958916_2,GSM958916: Mo17_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958916,,GSM958916: Mo17_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521049,GSM958915_r9,SRX159575,TRUE,27042386,27042386,100,GSM958915_2,GSM958915: B73_DNA_rep3; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958915,,GSM958915: B73_DNA_rep3,RANDOM,GENOMIC,Bisulfite-Seq
SRR521048,GSM958915_r8,SRX159575,TRUE,37854849,37854849,100,GSM958915_2,GSM958915: B73_DNA_rep3; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958915,,GSM958915: B73_DNA_rep3,RANDOM,GENOMIC,Bisulfite-Seq
SRR521047,GSM958915_r7,SRX159575,TRUE,39540597,39540597,100,GSM958915_2,GSM958915: B73_DNA_rep3; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958915,,GSM958915: B73_DNA_rep3,RANDOM,GENOMIC,Bisulfite-Seq
SRR521046,GSM958915_r6,SRX159575,TRUE,40037492,40037492,100,GSM958915_2,GSM958915: B73_DNA_rep3; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958915,,GSM958915: B73_DNA_rep3,RANDOM,GENOMIC,Bisulfite-Seq
