srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR3536649,GSM2155548_r1,SRX1770376,FALSE,301629835,0,101,GSM2155548,GSM2155548: ARF_ecoli-ZmARF5_Zm_2; Zea mays; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM2155548,,,other,GENOMIC,OTHER
SRR2926972,GSM1925902_r1,SRX1412882,FALSE,1902768,0,133,GSM1925902,GSM1925902: WRKY_tnt.WRKY22_col100_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925902,,,other,GENOMIC,OTHER
SRR2926971,GSM1925901_r1,SRX1412881,FALSE,7448627,0,100,GSM1925901,GSM1925901: WRKY_tnt.WRKY21_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925901,,,other,GENOMIC,OTHER
SRR2926970,GSM1925900_r1,SRX1412880,FALSE,4269180,0,130,GSM1925900,GSM1925900: WRKY_tnt.WRKY21_col_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925900,,,other,GENOMIC,OTHER
SRR2926969,GSM1925899_r1,SRX1412879,TRUE,2525356,2525356,200,GSM1925899,GSM1925899: Trihelix_tnt.At3g14180_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925899,,,other,GENOMIC,OTHER
SRR2926968,GSM1925898_r1,SRX1412878,FALSE,1708995,0,133,GSM1925898,GSM1925898: Trihelix_tnt.At3g14180_col100_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925898,,,other,GENOMIC,OTHER
SRR2926967,GSM1925897_r1,SRX1412877,FALSE,4553512,0,100,GSM1925897,GSM1925897: TCP_tnt.TCP3_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925897,,,other,GENOMIC,OTHER
SRR2926966,GSM1925896_r1,SRX1412876,FALSE,3591687,0,130,GSM1925896,GSM1925896: TCP_tnt.TCP3_col_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925896,,,other,GENOMIC,OTHER
SRR2926965,GSM1925895_r1,SRX1412875,TRUE,2986399,2986399,200,GSM1925895,GSM1925895: TCP_tnt.TCP24_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925895,,,other,GENOMIC,OTHER
SRR2926964,GSM1925894_r1,SRX1412874,FALSE,2147777,0,133,GSM1925894,GSM1925894: TCP_tnt.TCP24_col200_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925894,,,other,GENOMIC,OTHER
SRR2926963,GSM1925893_r1,SRX1412873,FALSE,1828845,0,100,GSM1925893,GSM1925893: TCP_tnt.At1g72010_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925893,,,other,GENOMIC,OTHER
SRR2926962,GSM1925892_r1,SRX1412872,FALSE,710425,0,133,GSM1925892,GSM1925892: TCP_tnt.At1g72010_col200_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925892,,,other,GENOMIC,OTHER
SRR2926961,GSM1925891_r1,SRX1412871,TRUE,2095530,2095530,200,GSM1925891,GSM1925891: RAV_tnt.RAV1_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925891,,,other,GENOMIC,OTHER
SRR2926960,GSM1925890_r1,SRX1412870,FALSE,785800,0,133,GSM1925890,GSM1925890: RAV_tnt.RAV1_col100_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925890,,,other,GENOMIC,OTHER
SRR2926959,GSM1925889_r1,SRX1412869,FALSE,9956406,0,100,GSM1925889,GSM1925889: NAC_tnt.VND4_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925889,,,other,GENOMIC,OTHER
SRR2926958,GSM1925888_r1,SRX1412868,FALSE,9768934,0,100,GSM1925888,GSM1925888: NAC_tnt.VND4_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925888,,,other,GENOMIC,OTHER
SRR2926957,GSM1925887_r1,SRX1412867,FALSE,9694475,0,100,GSM1925887,GSM1925887: NAC_tnt.VND3_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925887,,,other,GENOMIC,OTHER
SRR2926956,GSM1925886_r1,SRX1412866,FALSE,9514231,0,100,GSM1925886,GSM1925886: NAC_tnt.VND3_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925886,,,other,GENOMIC,OTHER
SRR2926955,GSM1925885_r1,SRX1412865,FALSE,6720308,0,100,GSM1925885,GSM1925885: NAC_tnt.NTL8_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925885,,,other,GENOMIC,OTHER
SRR2926954,GSM1925884_r1,SRX1412864,FALSE,6589869,0,100,GSM1925884,GSM1925884: NAC_tnt.NTL8_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925884,,,other,GENOMIC,OTHER
SRR2926953,GSM1925883_r1,SRX1412863,FALSE,5123489,0,100,GSM1925883,GSM1925883: NAC_tnt.CUC2_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925883,,,other,GENOMIC,OTHER
SRR2926952,GSM1925882_r1,SRX1412862,FALSE,5037404,0,100,GSM1925882,GSM1925882: NAC_tnt.CUC2_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925882,,,other,GENOMIC,OTHER
SRR2926951,GSM1925881_r1,SRX1412861,FALSE,11020631,0,100,GSM1925881,GSM1925881: NAC_tnt.ANAC096_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925881,,,other,GENOMIC,OTHER
SRR2926950,GSM1925880_r1,SRX1412860,FALSE,10808752,0,100,GSM1925880,GSM1925880: NAC_tnt.ANAC096_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925880,,,other,GENOMIC,OTHER
SRR2926949,GSM1925879_r1,SRX1412859,FALSE,9017704,0,100,GSM1925879,GSM1925879: NAC_tnt.ANAC079_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925879,,,other,GENOMIC,OTHER
SRR2926948,GSM1925878_r1,SRX1412858,FALSE,9108811,0,100,GSM1925878,GSM1925878: NAC_tnt.ANAC079_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925878,,,other,GENOMIC,OTHER
SRR2926947,GSM1925877_r1,SRX1412857,FALSE,2276555,0,100,GSM1925877,GSM1925877: NAC_tnt.ANAC070_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925877,,,other,GENOMIC,OTHER
SRR2926946,GSM1925876_r1,SRX1412856,FALSE,2236830,0,100,GSM1925876,GSM1925876: NAC_tnt.ANAC070_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925876,,,other,GENOMIC,OTHER
SRR2926945,GSM1925875_r1,SRX1412855,FALSE,8972617,0,100,GSM1925875,GSM1925875: NAC_tnt.ANAC062_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925875,,,other,GENOMIC,OTHER
SRR2926944,GSM1925874_r1,SRX1412854,FALSE,9071726,0,100,GSM1925874,GSM1925874: NAC_tnt.ANAC062_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925874,,,other,GENOMIC,OTHER
SRR2926943,GSM1925873_r1,SRX1412853,FALSE,11698720,0,100,GSM1925873,GSM1925873: NAC_tnt.ANAC055_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925873,,,other,GENOMIC,OTHER
SRR2926942,GSM1925872_r1,SRX1412852,FALSE,11815884,0,100,GSM1925872,GSM1925872: NAC_tnt.ANAC055_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925872,,,other,GENOMIC,OTHER
SRR2926941,GSM1925871_r1,SRX1412851,FALSE,4913640,0,100,GSM1925871,GSM1925871: NAC_tnt.ANAC053_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925871,,,other,GENOMIC,OTHER
SRR2926940,GSM1925870_r1,SRX1412850,FALSE,4829770,0,100,GSM1925870,GSM1925870: NAC_tnt.ANAC053_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925870,,,other,GENOMIC,OTHER
SRR2926939,GSM1925869_r1,SRX1412849,FALSE,1312715,0,100,GSM1925869,GSM1925869: NAC_tnt.ANAC047_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925869,,,other,GENOMIC,OTHER
SRR2926938,GSM1925868_r1,SRX1412848,FALSE,1287582,0,100,GSM1925868,GSM1925868: NAC_tnt.ANAC047_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925868,,,other,GENOMIC,OTHER
SRR2926937,GSM1925867_r1,SRX1412847,FALSE,18171053,0,100,GSM1925867,GSM1925867: NAC_tnt.ANAC046_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925867,,,other,GENOMIC,OTHER
SRR2926936,GSM1925866_r1,SRX1412846,FALSE,17826094,0,100,GSM1925866,GSM1925866: NAC_tnt.ANAC046_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925866,,,other,GENOMIC,OTHER
SRR2926935,GSM1925865_r1,SRX1412845,FALSE,9948437,0,100,GSM1925865,GSM1925865: NAC_tnt.ANAC034_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925865,,,other,GENOMIC,OTHER
SRR2926934,GSM1925864_r1,SRX1412844,FALSE,10043291,0,100,GSM1925864,GSM1925864: NAC_tnt.ANAC034_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925864,,,other,GENOMIC,OTHER
SRR2926933,GSM1925863_r1,SRX1412843,FALSE,12450400,0,100,GSM1925863,GSM1925863: NAC_tnt.ANAC017_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925863,,,other,GENOMIC,OTHER
SRR2926932,GSM1925862_r1,SRX1412842,FALSE,12574723,0,100,GSM1925862,GSM1925862: NAC_tnt.ANAC017_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925862,,,other,GENOMIC,OTHER
SRR2926931,GSM1925861_r1,SRX1412841,FALSE,8800768,0,100,GSM1925861,GSM1925861: MYBrelated_tnt.TRP1_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925861,,,other,GENOMIC,OTHER
SRR2926930,GSM1925860_r1,SRX1412840,FALSE,5049971,0,130,GSM1925860,GSM1925860: MYBrelated_tnt.TRP1_col_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925860,,,other,GENOMIC,OTHER
SRR2926929,GSM1925859_r1,SRX1412839,FALSE,10711109,0,100,GSM1925859,GSM1925859: MYBrelated_tnt.LCL1_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925859,,,other,GENOMIC,OTHER
SRR2926928,GSM1925858_r1,SRX1412838,FALSE,5502495,0,130,GSM1925858,GSM1925858: MYBrelated_tnt.LCL1_col_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925858,,,other,GENOMIC,OTHER
SRR2926927,GSM1925857_r1,SRX1412837,TRUE,2467695,2467695,200,GSM1925857,GSM1925857: MYBrelated_tnt.EPR1_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925857,,,other,GENOMIC,OTHER
SRR2926926,GSM1925856_r1,SRX1412836,FALSE,2116584,0,133,GSM1925856,GSM1925856: MYBrelated_tnt.EPR1_col200_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925856,,,other,GENOMIC,OTHER
SRR2926925,GSM1925855_r1,SRX1412835,FALSE,2142592,0,100,GSM1925855,GSM1925855: MYB_tnt.MYB74_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925855,,,other,GENOMIC,OTHER
SRR2926924,GSM1925854_r1,SRX1412834,FALSE,3244821,0,100,GSM1925854,GSM1925854: MYB_tnt.MYB74_col_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925854,,,other,GENOMIC,OTHER
SRR2926923,GSM1925853_r1,SRX1412833,FALSE,1358635,0,100,GSM1925853,GSM1925853: MYB_tnt.MYB60_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925853,,,other,GENOMIC,OTHER
SRR2926922,GSM1925852_r1,SRX1412832,FALSE,1744641,0,133,GSM1925852,GSM1925852: MYB_tnt.MYB60_col200_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925852,,,other,GENOMIC,OTHER
SRR2926921,GSM1925851_r1,SRX1412831,FALSE,8560023,0,100,GSM1925851,GSM1925851: MYB_tnt.MYB55_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925851,,,other,GENOMIC,OTHER
SRR2926920,GSM1925850_r1,SRX1412830,FALSE,5206548,0,130,GSM1925850,GSM1925850: MYB_tnt.MYB55_col_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925850,,,other,GENOMIC,OTHER
SRR2926919,GSM1925849_r1,SRX1412829,TRUE,2446380,2446380,200,GSM1925849,GSM1925849: MYB_tnt.MYB44_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925849,,,other,GENOMIC,OTHER
SRR2926918,GSM1925848_r1,SRX1412828,FALSE,3088139,0,133,GSM1925848,GSM1925848: MYB_tnt.MYB44_col100_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925848,,,other,GENOMIC,OTHER
SRR2926917,GSM1925847_r1,SRX1412827,FALSE,7422981,0,100,GSM1925847,GSM1925847: Homeobox_tnt.PDF2_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925847,,,other,GENOMIC,OTHER
SRR2926916,GSM1925846_r1,SRX1412826,FALSE,5173921,0,130,GSM1925846,GSM1925846: Homeobox_tnt.PDF2_col_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925846,,,other,GENOMIC,OTHER
SRR2926915,GSM1925845_r1,SRX1412825,FALSE,1597093,0,133,GSM1925845,GSM1925845: Homeobox_tnt.EDT1_col200_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925845,,,other,GENOMIC,OTHER
SRR2926914,GSM1925844_r1,SRX1412824,TRUE,798482,798482,200,GSM1925844,GSM1925844: Homeobox_tnt.EDT1_100ng20cy_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925844,,,other,GENOMIC,OTHER
SRR2926913,GSM1925843_r1,SRX1412823,TRUE,3507198,3507198,200,GSM1925843,GSM1925843: HSF_tnt.HSFA6B_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925843,,,other,GENOMIC,OTHER
SRR2926912,GSM1925842_r1,SRX1412822,FALSE,1831510,0,133,GSM1925842,GSM1925842: HSF_tnt.HSFA6B_col100_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925842,,,other,GENOMIC,OTHER
