srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR7889834,GSM3398051_r1,SRX4727418,TRUE,528889134,528889134,152,GSM3398051,GSM3398051: HiC maize Leaf-HiC rep2; Zea mays; Hi-C,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398051,,,other,GENOMIC,Hi-C
SRR7889796,GSM3398019_r1,SRX4727386,FALSE,48659869,0,75,GSM3398019,GSM3398019: DAP-seq maize ARF27; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398019,,,other,GENOMIC,OTHER
SRR7889795,GSM3398018_r1,SRX4727385,FALSE,14410671,0,75,GSM3398018,GSM3398018: DAP-seq maize ARF25; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398018,,,other,GENOMIC,OTHER
SRR7889794,GSM3398017_r1,SRX4727384,FALSE,28371502,0,76,GSM3398017,GSM3398017: DAP-seq maize ARF18; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398017,,,other,GENOMIC,OTHER
SRR7889793,GSM3398016_r1,SRX4727383,FALSE,28551131,0,76,GSM3398016,GSM3398016: DAP-seq maize ARF16; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398016,,,other,GENOMIC,OTHER
SRR7889792,GSM3398015_r1,SRX4727382,FALSE,14159612,0,75,GSM3398015,GSM3398015: DAP-seq maize ARF14; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398015,,,other,GENOMIC,OTHER
SRR7889791,GSM3398014_r1,SRX4727381,FALSE,24930195,0,76,GSM3398014,GSM3398014: DAP-seq maize ARF13; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398014,,,other,GENOMIC,OTHER
SRR7889790,GSM3398013_r1,SRX4727380,FALSE,18121991,0,76,GSM3398013,GSM3398013: DAP-seq maize ARF10; Zea mays; OTHER,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398013,,,other,GENOMIC,OTHER
SRR7889789,GSM3398012_r1,SRX4727379,FALSE,33165873,0,75,GSM3398012,GSM3398012: Chip B73 ear input rep1; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398012,,,ChIP,GENOMIC,ChIP-Seq
SRR7889788,GSM3398011_r1,SRX4727378,FALSE,13843701,0,76,GSM3398011,GSM3398011: Chip B73 ear H3 rep1; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398011,,,ChIP,GENOMIC,ChIP-Seq
SRR7889787,GSM3398010_r1,SRX4727377,FALSE,38591965,0,76,GSM3398010,GSM3398010: Chip B73 ear H3K56ac rep2; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398010,,,ChIP,GENOMIC,ChIP-Seq
SRR7889786,GSM3398009_r1,SRX4727376,FALSE,20524329,0,75,GSM3398009,GSM3398009: Chip B73 ear H3K56ac rep1; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398009,,,ChIP,GENOMIC,ChIP-Seq
SRR7889785,GSM3398008_r1,SRX4727375,FALSE,44288396,0,76,GSM3398008,GSM3398008: Chip B73 ear H3K4me3 rep2; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398008,,,ChIP,GENOMIC,ChIP-Seq
SRR7889784,GSM3398007_r1,SRX4727374,FALSE,42571199,0,76,GSM3398007,GSM3398007: Chip B73 ear H3K4me3 rep1; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398007,,,ChIP,GENOMIC,ChIP-Seq
SRR7889783,GSM3398006_r1,SRX4727373,FALSE,56234785,0,76,GSM3398006,GSM3398006: Chip B73 ear H3K36me3 rep2; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398006,,,ChIP,GENOMIC,ChIP-Seq
SRR7889782,GSM3398005_r1,SRX4727372,FALSE,41183792,0,75,GSM3398005,GSM3398005: Chip B73 ear H3K36me3 rep1; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398005,,,ChIP,GENOMIC,ChIP-Seq
SRR7889781,GSM3398004_r1,SRX4727371,FALSE,72768893,0,76,GSM3398004,GSM3398004: Chip B73 ear H3K27me3 rep2; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398004,,,ChIP,GENOMIC,ChIP-Seq
SRR7889780,GSM3398003_r1,SRX4727370,FALSE,78963021,0,76,GSM3398003,GSM3398003: Chip B73 ear H3K27me3 rep1; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398003,,,ChIP,GENOMIC,ChIP-Seq
SRR7889779,GSM3398002_r1,SRX4727369,FALSE,20824166,0,75,GSM3398002,GSM3398002: Chip B73 leaf input rep2; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398002,,,ChIP,GENOMIC,ChIP-Seq
SRR7889778,GSM3398001_r1,SRX4727368,FALSE,22716315,0,75,GSM3398001,GSM3398001: Chip B73 leaf input rep1; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398001,,,ChIP,GENOMIC,ChIP-Seq
SRR7889777,GSM3398000_r1,SRX4727367,FALSE,15137000,0,75,GSM3398000,GSM3398000: Chip B73 leaf H3 rep2; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3398000,,,ChIP,GENOMIC,ChIP-Seq
SRR7889776,GSM3397999_r1,SRX4727366,FALSE,46542831,0,75,GSM3397999,GSM3397999: Chip B73 leaf H3 rep1; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397999,,,ChIP,GENOMIC,ChIP-Seq
SRR7889775,GSM3397998_r1,SRX4727365,FALSE,42990103,0,75,GSM3397998,GSM3397998: Chip B73 leaf H3K9ac rep2; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397998,,,ChIP,GENOMIC,ChIP-Seq
SRR7889774,GSM3397997_r1,SRX4727364,FALSE,23017373,0,75,GSM3397997,GSM3397997: Chip B73 leaf H3K9ac rep1; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397997,,,ChIP,GENOMIC,ChIP-Seq
SRR7889773,GSM3397996_r1,SRX4727363,FALSE,30604762,0,76,GSM3397996,GSM3397996: Chip B73 leaf H3K56ac rep2; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397996,,,ChIP,GENOMIC,ChIP-Seq
SRR7889772,GSM3397995_r1,SRX4727362,FALSE,14631000,0,75,GSM3397995,GSM3397995: Chip B73 leaf H3K56ac rep1; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397995,,,ChIP,GENOMIC,ChIP-Seq
SRR7889771,GSM3397994_r1,SRX4727361,FALSE,14206461,0,75,GSM3397994,GSM3397994: Chip B73 leaf H3K4me3 rep2; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397994,,,ChIP,GENOMIC,ChIP-Seq
SRR7889770,GSM3397993_r1,SRX4727360,FALSE,14706690,0,75,GSM3397993,GSM3397993: Chip B73 leaf H3K4me3 rep1; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397993,,,ChIP,GENOMIC,ChIP-Seq
SRR7889769,GSM3397992_r1,SRX4727359,FALSE,48459950,0,75,GSM3397992,GSM3397992: Chip B73 leaf H3K4me1 rep2; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397992,,,ChIP,GENOMIC,ChIP-Seq
SRR7889768,GSM3397991_r1,SRX4727358,FALSE,48198327,0,75,GSM3397991,GSM3397991: Chip B73 leaf H3K4me1 rep1; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397991,,,ChIP,GENOMIC,ChIP-Seq
SRR7889767,GSM3397990_r1,SRX4727357,FALSE,75396238,0,76,GSM3397990,GSM3397990: Chip B73 leaf H3K36me3 rep2; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397990,,,ChIP,GENOMIC,ChIP-Seq
SRR7889766,GSM3397989_r1,SRX4727356,FALSE,49208879,0,76,GSM3397989,GSM3397989: Chip B73 leaf H3K36me3 rep1; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397989,,,ChIP,GENOMIC,ChIP-Seq
SRR7889765,GSM3397988_r1,SRX4727355,FALSE,24046522,0,75,GSM3397988,GSM3397988: Chip B73 leaf H3K27me3 rep2; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397988,,,ChIP,GENOMIC,ChIP-Seq
SRR7889764,GSM3397987_r1,SRX4727354,FALSE,24095651,0,75,GSM3397987,GSM3397987: Chip B73 leaf H3K27me3 rep1; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397987,,,ChIP,GENOMIC,ChIP-Seq
SRR7889763,GSM3397986_r1,SRX4727353,FALSE,51044191,0,76,GSM3397986,GSM3397986: Chip B73 leaf H3K27ac rep2; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397986,,,ChIP,GENOMIC,ChIP-Seq
SRR7889762,GSM3397985_r1,SRX4727352,FALSE,50627599,0,75,GSM3397985,GSM3397985: Chip B73 leaf H3K27ac rep1; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397985,,,ChIP,GENOMIC,ChIP-Seq
SRR7889761,GSM3397984_r1,SRX4727351,FALSE,19252409,0,76,GSM3397984,GSM3397984: Chip B73 leaf H2AZ rep2; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397984,,,ChIP,GENOMIC,ChIP-Seq
SRR7889760,GSM3397983_r1,SRX4727350,FALSE,27732267,0,76,GSM3397983,GSM3397983: Chip B73 leaf H2AZ rep1; Zea mays; ChIP-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397983,,,ChIP,GENOMIC,ChIP-Seq
SRR7889759,GSM3397982_r1,SRX4727349,FALSE,58987597,0,134,GSM3397982,GSM3397982: RNA B73 ear rep4; Zea mays; RNA-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397982,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7889758,GSM3397981_r1,SRX4727348,FALSE,72358047,0,136,GSM3397981,GSM3397981: RNA B73 ear rep3; Zea mays; RNA-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397981,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7889757,GSM3397980_r1,SRX4727347,FALSE,74438862,0,137,GSM3397980,GSM3397980: RNA B73 ear rep2; Zea mays; RNA-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397980,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7889756,GSM3397979_r1,SRX4727346,FALSE,55742012,0,140,GSM3397979,GSM3397979: RNA B73 ear rep1; Zea mays; RNA-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397979,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7889755,GSM3397978_r1,SRX4727345,FALSE,45672397,0,75,GSM3397978,GSM3397978: RNA B73 leaf rep2; Zea mays; RNA-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397978,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7889754,GSM3397977_r1,SRX4727344,FALSE,46421549,0,75,GSM3397977,GSM3397977: RNA B73 leaf rep1; Zea mays; RNA-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397977,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7889753,GSM3397976_r1,SRX4727343,TRUE,636294670,636294670,252,GSM3397976,GSM3397976: Methylome B73 leaf; Zea mays; Bisulfite-Seq,,Widespread Long-range Cis-Regulatory Elements in the Maize Genome,GSM3397976,,,RANDOM,GENOMIC,Bisulfite-Seq
