srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR999071,GSM1236543_r1,SRX357140,FALSE,49265747,0,50,GSM1236543,GSM1236543: RA1_input_ear_YFP; Zea mays; ChIP-Seq,,Zea mays Epigenomics,GSM1236543,,,ChIP,GENOMIC,ChIP-Seq
SRR999059,GSM1236531_r1,SRX357128,TRUE,32438903,32438903,100,GSM1236531,GSM1236531: ra2_2mm_ear.2; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236531,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999058,GSM1236530_r1,SRX357127,TRUE,8482420,8482420,100,GSM1236530,GSM1236530: ra2_2mm_ear.1; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236530,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999057,GSM1236529_r1,SRX357126,TRUE,12376211,12376211,100,GSM1236529,GSM1236529: ra1_2mm_ear.3; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236529,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999056,GSM1236528_r1,SRX357125,TRUE,35276815,35276815,100,GSM1236528,GSM1236528: ra1_2mm_ear.2; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236528,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999055,GSM1236527_r1,SRX357124,TRUE,8491938,8491938,100,GSM1236527,GSM1236527: ra1_2mm_ear.1; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236527,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999054,GSM1236526_r1,SRX357123,TRUE,6173142,6173142,100,GSM1236526,GSM1236526: wt_2mm_ear.3; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236526,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999053,GSM1236525_r1,SRX357122,TRUE,11228927,11228927,100,GSM1236525,GSM1236525: wt_2mm_ear.2; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236525,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999052,GSM1236524_r1,SRX357121,TRUE,16022830,16022830,100,GSM1236524,GSM1236524: wt_2mm_ear.1; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236524,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999051,GSM1236523_r1,SRX357120,TRUE,44725868,44725868,100,GSM1236523,GSM1236523: ra3_1mm_ear.2; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236523,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999050,GSM1236522_r1,SRX357119,TRUE,14852158,14852158,100,GSM1236522,GSM1236522: ra3_1mm_ear.1; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236522,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999049,GSM1236521_r1,SRX357118,TRUE,15661175,15661175,100,GSM1236521,GSM1236521: ra2_1mm_ear.2; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236521,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999048,GSM1236520_r1,SRX357117,TRUE,6468016,6468016,100,GSM1236520,GSM1236520: ra2_1mm_ear.1; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236520,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999047,GSM1236519_r1,SRX357116,TRUE,16845719,16845719,100,GSM1236519,GSM1236519: ra1_1mm_ear.2; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236519,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999046,GSM1236518_r1,SRX357115,TRUE,21954565,21954565,100,GSM1236518,GSM1236518: ra1_1mm_ear.1; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236518,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999045,GSM1236517_r1,SRX357114,TRUE,11419746,11419746,100,GSM1236517,GSM1236517: wt_1mm_ear.2; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236517,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999044,GSM1236516_r1,SRX357113,TRUE,8772615,8772615,100,GSM1236516,GSM1236516: wt_1mm_ear.1; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236516,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999043,GSM1236515_r1,SRX357112,TRUE,30177105,30177105,100,GSM1236515,GSM1236515: tassel_stg3.2; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236515,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999042,GSM1236514_r1,SRX357111,TRUE,15351591,15351591,100,GSM1236514,GSM1236514: tassel_stg3.1; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236514,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999041,GSM1236513_r1,SRX357110,TRUE,18323414,18323414,100,GSM1236513,GSM1236513: tassel_stg2.2; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236513,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999040,GSM1236512_r1,SRX357109,TRUE,15621472,15621472,100,GSM1236512,GSM1236512: tassel_stg2.1; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236512,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999039,GSM1236511_r1,SRX357108,TRUE,26802571,26802571,100,GSM1236511,GSM1236511: tassel_stg1.2; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236511,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999038,GSM1236510_r1,SRX357107,TRUE,15398933,15398933,100,GSM1236510,GSM1236510: tassel_stg1.1; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236510,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999037,GSM1236509_r1,SRX357106,TRUE,8760228,8760228,100,GSM1236509,GSM1236509: ear_base_FM.2; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236509,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999036,GSM1236508_r1,SRX357105,TRUE,13964076,13964076,100,GSM1236508,GSM1236508: ear_base_FM.1; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236508,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999035,GSM1236507_r1,SRX357104,TRUE,10322765,10322765,100,GSM1236507,GSM1236507: ear_mid_SM.2; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236507,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999034,GSM1236506_r1,SRX357103,TRUE,12897481,12897481,100,GSM1236506,GSM1236506: ear_mid_SM.1; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236506,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999033,GSM1236505_r1,SRX357102,TRUE,13552900,13552900,100,GSM1236505,GSM1236505: ear_tip_IM.SPM.2; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236505,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999032,GSM1236504_r1,SRX357101,TRUE,6644678,6644678,100,GSM1236504,GSM1236504: ear_tip_IM.SPM.1; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236504,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
