srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR957482,GSM1215387_r1,SRX339823,FALSE,28074423,0,100,GSM1215387,GSM1215387: Vegetative Meristem & Surrounding Tissue 2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215387,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957460,GSM1215365_r1,SRX339801,FALSE,27824217,0,100,GSM1215365,GSM1215365: PR 1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215365,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957459,GSM1215364_r1,SRX339800,FALSE,16084431,0,100,GSM1215364,GSM1215364: Cortex_rep3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215364,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957458,GSM1215363_r1,SRX339799,FALSE,23098702,0,100,GSM1215363,GSM1215363: EZ_rep3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215363,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957457,GSM1215362_r1,SRX339798,FALSE,25235171,0,100,GSM1215362,GSM1215362: MZ_rep3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215362,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957456,GSM1215361_r1,SRX339797,FALSE,23819095,0,100,GSM1215361,GSM1215361: Cortex_rep2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215361,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957455,GSM1215360_r1,SRX339796,FALSE,21179476,0,100,GSM1215360,GSM1215360: EZ_rep2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215360,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957454,GSM1215359_r1,SRX339795,FALSE,26430685,0,100,GSM1215359,GSM1215359: MZ_rep2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215359,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957453,GSM1215358_r1,SRX339794,FALSE,23518174,0,100,GSM1215358,GSM1215358: Cortex_rep1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215358,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957452,GSM1215357_r1,SRX339793,FALSE,25096136,0,100,GSM1215357,GSM1215357: EZ_rep1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215357,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957451,GSM1215356_r1,SRX339792,FALSE,24907859,0,100,GSM1215356,GSM1215356: MZ_rep1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215356,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957450,GSM1215355_r1,SRX339791,FALSE,29296140,0,100,GSM1215355,GSM1215355: 2-4 mm from tip of ear primordium 3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215355,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957449,GSM1215354_r1,SRX339790,FALSE,27161974,0,100,GSM1215354,GSM1215354: 2-4 mm from tip of ear primordium 2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215354,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957448,GSM1215353_r1,SRX339789,FALSE,26746096,0,100,GSM1215353,GSM1215353: 2-4 mm from tip of ear primordium 1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215353,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957447,GSM1215352_r1,SRX339788,FALSE,17690157,0,100,GSM1215352,GSM1215352: 6-8 mm from tip of ear primordium 3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215352,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957446,GSM1215351_r1,SRX339787,FALSE,24259731,0,100,GSM1215351,GSM1215351: 6-8 mm from tip of ear primordium 2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215351,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957445,GSM1215350_r1,SRX339786,FALSE,27252374,0,100,GSM1215350,GSM1215350: 6-8 mm from tip of ear primordium 1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215350,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957444,GSM1215349_r1,SRX339785,FALSE,21916416,0,100,GSM1215349,GSM1215349: MATURE LEAF TISSUE (leaf 8) 3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215349,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957443,GSM1215348_r1,SRX339784,FALSE,26408022,0,100,GSM1215348,GSM1215348: MATURE LEAF TISSUE (leaf 8) 2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215348,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957442,GSM1215347_r1,SRX339783,FALSE,20434594,0,100,GSM1215347,GSM1215347: MATURE LEAF TISSUE (leaf 8) 1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215347,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957441,GSM1215346_r1,SRX339782,FALSE,46059806,0,100,GSM1215346,GSM1215346: Germinating Kernels 3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215346,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957440,GSM1215345_r1,SRX339781,FALSE,23331686,0,100,GSM1215345,GSM1215345: Germinating Kernels 2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215345,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957439,GSM1215344_r1,SRX339780,FALSE,22717651,0,100,GSM1215344,GSM1215344: Germinating Kernels 1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215344,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957438,GSM1215343_r1,SRX339779,FALSE,22433479,0,100,GSM1215343,GSM1215343: EMBRYOS 3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215343,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957437,GSM1215342_r1,SRX339778,FALSE,19626903,0,100,GSM1215342,GSM1215342: EMBRYOS 2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215342,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957436,GSM1215341_r1,SRX339777,FALSE,18657758,0,100,GSM1215341,GSM1215341: EMBRYOS 1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215341,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957435,GSM1215340_r1,SRX339776,FALSE,33971845,0,100,GSM1215340,GSM1215340: embryos_20DAP_r3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215340,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957434,GSM1215339_r1,SRX339775,FALSE,33646352,0,100,GSM1215339,GSM1215339: embryos_20DAP_r2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215339,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957433,GSM1215338_r1,SRX339774,FALSE,33351230,0,100,GSM1215338,GSM1215338: embryos_20DAP_r1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215338,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957432,GSM1215337_r1,SRX339773,FALSE,19096768,0,100,GSM1215337,GSM1215337: GROWTH ZONE 3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215337,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957431,GSM1215336_r1,SRX339772,FALSE,25735688,0,100,GSM1215336,GSM1215336: GROWTH ZONE 2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215336,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957430,GSM1215335_r1,SRX339771,FALSE,24481942,0,100,GSM1215335,GSM1215335: GROWTH ZONE 1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215335,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957429,GSM1215334_r1,SRX339770,FALSE,22851558,0,100,GSM1215334,GSM1215334: STOMATAL_DIVISION_ZONE_r3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215334,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957428,GSM1215333_r1,SRX339769,FALSE,21212846,0,100,GSM1215333,GSM1215333: STOMATAL_DIVISION_ZONE_r2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215333,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957427,GSM1215332_r1,SRX339768,FALSE,22367166,0,100,GSM1215332,GSM1215332: STOMATAL_DIVISION_ZONE_r1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215332,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957426,GSM1215331_r1,SRX339767,FALSE,23421576,0,100,GSM1215331,GSM1215331: SYMMETRICAL_DIVISION_ZONE_r3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215331,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957425,GSM1215330_r1,SRX339766,FALSE,23790586,0,100,GSM1215330,GSM1215330: SYMMETRICAL_DIVISION_ZONE_r2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215330,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957424,GSM1215329_r1,SRX339765,FALSE,26569994,0,100,GSM1215329,GSM1215329: SYMMETRICAL_DIVISION_ZONE_r1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215329,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957423,GSM1215328_r1,SRX339764,FALSE,27178641,0,100,GSM1215328,GSM1215328: endosperm_crown_r3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215328,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957422,GSM1215327_r1,SRX339763,FALSE,22450336,0,100,GSM1215327,GSM1215327: endosperm_crown_r2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215327,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957421,GSM1215326_r1,SRX339762,FALSE,20475682,0,100,GSM1215326,GSM1215326: endosperm_crown_r1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215326,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957420,GSM1215325_r1,SRX339761,FALSE,15145587,0,100,GSM1215325,GSM1215325: pericarp_aleurone_r3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215325,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957419,GSM1215324_r1,SRX339760,FALSE,21154911,0,100,GSM1215324,GSM1215324: pericarp_aleurone_r2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215324,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957418,GSM1215323_r1,SRX339759,FALSE,21908704,0,100,GSM1215323,GSM1215323: pericarp_aleurone_r1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215323,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957417,GSM1215322_r1,SRX339758,FALSE,34620400,0,100,GSM1215322,GSM1215322: endosperm_12DAP_r3; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215322,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957416,GSM1215321_r1,SRX339757,FALSE,33146885,0,100,GSM1215321,GSM1215321: endosperm_12DAP_r2; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215321,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR957415,GSM1215320_r1,SRX339756,FALSE,33974745,0,100,GSM1215320,GSM1215320: endosperm_12DAP_r1; Zea mays; RNA-Seq,Maize proteome and transcriptome atlas,GSM1215320,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
