SampleID	Tissue	Genotype	Treatment	Replicate	paired	picked	r0	r1	r2
s21	shoot	LH143		3	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_shoot_r3.fq.gz		
s22	root	B73xLH143		1	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73Mo17_root_r1.fq.gz		
s23	root	B73xLH143		2	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73Mo17_root_r2.fq.gz		
s24	root	B73xLH143		3	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73Mo17_root_r3.fq.gz		
s25	root	B73xLH143		4	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73Mo17_root_r4.fq.gz		
s26	shoot	B73xLH143		1	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73Mo17_shoot_r1.fq.gz		
s27	shoot	B73xLH143		2	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73Mo17_shoot_r2.fq.gz		
s28	shoot	B73xLH143		3	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73Mo17_shoot_r3.fq.gz		
s29	shoot	LH143	cold_control	1	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_Sctrl_r1.fq.gz		
s30	shoot	LH143	cold_control	2	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_Sctrl_r2.fq.gz		
s31	shoot	LH143	cold_control	3	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_Sctrl_r3.fq.gz		
s32	root	LH143	cold	1	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_Rcold_r1.fq.gz		
s33	root	LH143	cold	2	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_Rcold_r2.fq.gz		
s34	root	LH143	cold	3	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_Rcold_r3.fq.gz		
s35	shoot	B73	cold_control	1	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_Sctrl_r1.fq.gz		
s36	shoot	B73	cold_control	2	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_Sctrl_r2.fq.gz		
s37	shoot	B73	cold_control	3	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_Sctrl_r3.fq.gz		
s38	root	B73	cold_control	1	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_Rctrl_r1.fq.gz		
s39	root	B73	cold_control	2	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_Rctrl_r2.fq.gz		
s40	root	B73	cold_control	3	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_Rctrl_r3.fq.gz		
s41	root	B73	cold	1	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_Rcold_r1.fq.gz		
s42	root	B73	cold	2	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_Rcold_r2.fq.gz		
s43	root	B73	cold	3	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_Rcold_r3.fq.gz		
s44	shoot	B73	cold	1	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_Scold_r1.fq.gz		
s45	shoot	B73	cold	2	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_Scold_r2.fq.gz		
s46	shoot	B73	cold	3	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_Scold_r3.fq.gz		
s47	shoot	LH143	cold	1	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_Scold_r1.fq.gz		
s48	shoot	LH143	cold	2	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_Scold_r2.fq.gz		
s49	shoot	LH143	cold	3	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_Scold_r3.fq.gz		
s50	root	LH143	cold_control	1	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_Rctrl_r1.fq.gz		
s51	root	LH143	cold_control	2	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_Rctrl_r2.fq.gz		
s52	root	LH143	cold_control	3	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_Rctrl_r3.fq.gz		
s53	shoot	B73	drought	1	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_Sdrought_r1.fq.gz		
s54	shoot	B73	drought	2	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_Sdrought_r2.fq.gz		
s55	shoot	LH143	drought	1	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_Sdrought_r1.fq.gz		
s56	shoot	LH143	drought	2	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_Sdrought_r2.fq.gz		
s57	shoot	LH143	drought	3	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_Sdrought_r3.fq.gz		
s58	shoot	LH143	drought_control	1	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_Sdctrl_r1.fq.gz		
s59	shoot	LH143	drought_control	2	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_Sdctrl_r2.fq.gz		
s60	shoot	B73	drought_control	1	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_Sdctrl_r1.fq.gz		
s61	root	B73	drought	1	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_Rdrought_r1.fq.gz		
s62	shoot	B73	AMG	1	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_shoot_AMG.fq.gz		
s63	husk	B73	Maike	1	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_Husk_1.fq.gz		
s64	husk	B73	Maike	2	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_Husk_2.fq.gz		
s65	husk	B73	Maike	3	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_Husk_3.fq.gz		
s66	stem	B73	Maike	1	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_V2_1.fq.gz		
s67	stem	B73	Maike	2	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_V2_2.fq.gz		
s68	stem	B73	Maike	3	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_V2_3.fq.gz		
