SampleID	Species	Tissue	Genotype	Treatment	ReadFile1	ReadFile2
V3leafRecoveryPolysomal3	Zmays	V3leafRecoveryPolysomal	B73	V3leafRecoveryPolysomal_3	/home/springer/sna/te_expression/submergence/reads/pair1V3leafRecoveryPolysomalGTTTCG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafRecoveryPolysomalGTTTCG.fastq.gz
V3leafRecoveryPolysomal4	Zmays	V3leafRecoveryPolysomal	B73	V3leafRecoveryPolysomal_4	/home/springer/sna/te_expression/submergence/reads/pair1V3leafRecoveryPolysomalTACAGC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafRecoveryPolysomalTACAGC.fastq.gz
V3leafRecoveryTotal1	Zmays	V3leafRecoveryTotal	B73	V3leafRecoveryTotal_1	/home/springer/sna/te_expression/submergence/reads/pair1V3leafRecoveryTotalCTTGTA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafRecoveryTotalCTTGTA.fastq.gz
V3leafRecoveryTotal2	Zmays	V3leafRecoveryTotal	B73	V3leafRecoveryTotal_2	/home/springer/sna/te_expression/submergence/reads/pair1V3leafRecoveryTotalGATCAG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafRecoveryTotalGATCAG.fastq.gz
V3leafRecoveryTotal3	Zmays	V3leafRecoveryTotal	B73	V3leafRecoveryTotal_3	/home/springer/sna/te_expression/submergence/reads/pair1V3leafRecoveryTotalGGCTAC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafRecoveryTotalGGCTAC.fastq.gz
V3leafRecoveryTotal4	Zmays	V3leafRecoveryTotal	B73	V3leafRecoveryTotal_4	/home/springer/sna/te_expression/submergence/reads/pair1V3leafRecoveryTotalTAGCTT.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafRecoveryTotalTAGCTT.fastq.gz
V3leafSubmergencePolysomal1	Zmays	V3leafSubmergencePolysomal	B73	V3leafSubmergencePolysomal_1	/home/springer/sna/te_expression/submergence/reads/pair1V3leafSubmergencePolysomalGTAGAG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafSubmergencePolysomalGTAGAG.fastq.gz
V3leafSubmergencePolysomal2	Zmays	V3leafSubmergencePolysomal	B73	V3leafSubmergencePolysomal_2	/home/springer/sna/te_expression/submergence/reads/pair1V3leafSubmergencePolysomalGTCCGC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafSubmergencePolysomalGTCCGC.fastq.gz
V3leafSubmergencePolysomal3	Zmays	V3leafSubmergencePolysomal	B73	V3leafSubmergencePolysomal_3	/home/springer/sna/te_expression/submergence/reads/pair1V3leafSubmergencePolysomalGTGAAA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafSubmergencePolysomalGTGAAA.fastq.gz
V3leafSubmergencePolysomal4	Zmays	V3leafSubmergencePolysomal	B73	V3leafSubmergencePolysomal_4	/home/springer/sna/te_expression/submergence/reads/pair1V3leafSubmergencePolysomalGTGGCC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafSubmergencePolysomalGTGGCC.fastq.gz
V3leafSubmergenceTotal1	Zmays	V3leafSubmergenceTotal	B73	V3leafSubmergenceTotal_1	/home/springer/sna/te_expression/submergence/reads/pair1V3leafSubmergenceTotalACAGTG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafSubmergenceTotalACAGTG.fastq.gz
V3leafSubmergenceTotal2	Zmays	V3leafSubmergenceTotal	B73	V3leafSubmergenceTotal_2	/home/springer/sna/te_expression/submergence/reads/pair1V3leafSubmergenceTotalACTTGA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafSubmergenceTotalACTTGA.fastq.gz
V3leafSubmergenceTotal3	Zmays	V3leafSubmergenceTotal	B73	V3leafSubmergenceTotal_3	/home/springer/sna/te_expression/submergence/reads/pair1V3leafSubmergenceTotalCAGATC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafSubmergenceTotalCAGATC.fastq.gz
V3leafSubmergenceTotal4	Zmays	V3leafSubmergenceTotal	B73	V3leafSubmergenceTotal_4	/home/springer/sna/te_expression/submergence/reads/pair1V3leafSubmergenceTotalGCCAAT.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafSubmergenceTotalGCCAAT.fastq.gz
coleoptileHypoxiaPolysomal1	Zmays	coleoptileHypoxiaPolysomal	B73	coleoptileHypoxiaPolysomal_1	/home/springer/sna/te_expression/submergence/reads/pair1coleoptileHypoxiaPolysomalACTTGA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2coleoptileHypoxiaPolysomalACTTGA.fastq.gz
coleoptileHypoxiaPolysomal2	Zmays	coleoptileHypoxiaPolysomal	B73	coleoptileHypoxiaPolysomal_2	/home/springer/sna/te_expression/submergence/reads/pair1coleoptileHypoxiaPolysomalGTGAAA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2coleoptileHypoxiaPolysomalGTGAAA.fastq.gz
coleoptileHypoxiaTotal1	Zmays	coleoptileHypoxiaTotal	B73	coleoptileHypoxiaTotal_1	/home/springer/sna/te_expression/submergence/reads/pair1coleoptileHypoxiaTotalCCGTCC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2coleoptileHypoxiaTotalCCGTCC.fastq.gz
coleoptileHypoxiaTotal2	Zmays	coleoptileHypoxiaTotal	B73	coleoptileHypoxiaTotal_2	/home/springer/sna/te_expression/submergence/reads/pair1coleoptileHypoxiaTotalCGATGT.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2coleoptileHypoxiaTotalCGATGT.fastq.gz
coleoptileNormoxiaPolysomal1	Zmays	coleoptileNormoxiaPolysomal	B73	coleoptileNormoxiaPolysomal_1	/home/springer/sna/te_expression/submergence/reads/pair1coleoptileNormoxiaPolysomalCAGATC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2coleoptileNormoxiaPolysomalCAGATC.fastq.gz
coleoptileNormoxiaPolysomal2	Zmays	coleoptileNormoxiaPolysomal	B73	coleoptileNormoxiaPolysomal_2	/home/springer/sna/te_expression/submergence/reads/pair1coleoptileNormoxiaPolysomalGTCCGC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2coleoptileNormoxiaPolysomalGTCCGC.fastq.gz
coleoptileNormoxiaTotal1	Zmays	coleoptileNormoxiaTotal	B73	coleoptileNormoxiaTotal_1	/home/springer/sna/te_expression/submergence/reads/pair1coleoptileNormoxiaTotalAGTCAA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2coleoptileNormoxiaTotalAGTCAA.fastq.gz
coleoptileNormoxiaTotal2	Zmays	coleoptileNormoxiaTotal	B73	coleoptileNormoxiaTotal_2	/home/springer/sna/te_expression/submergence/reads/pair1coleoptileNormoxiaTotalATCACG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2coleoptileNormoxiaTotalATCACG.fastq.gz
coleoptileRecoveryPolysomal1	Zmays	coleoptileRecoveryPolysomal	B73	coleoptileRecoveryPolysomal_1	/home/springer/sna/te_expression/submergence/reads/pair1coleoptileRecoveryPolysomalCGTACG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2coleoptileRecoveryPolysomalCGTACG.fastq.gz
coleoptileRecoveryPolysomal2	Zmays	coleoptileRecoveryPolysomal	B73	coleoptileRecoveryPolysomal_2	/home/springer/sna/te_expression/submergence/reads/pair1coleoptileRecoveryPolysomalGATCAG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2coleoptileRecoveryPolysomalGATCAG.fastq.gz
coleoptileRecoveryTotal1	Zmays	coleoptileRecoveryTotal	B73	coleoptileRecoveryTotal_1	/home/springer/sna/te_expression/submergence/reads/pair1coleoptileRecoveryTotalCACCGG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2coleoptileRecoveryTotalCACCGG.fastq.gz
coleoptileRecoveryTotal2	Zmays	coleoptileRecoveryTotal	B73	coleoptileRecoveryTotal_2	/home/springer/sna/te_expression/submergence/reads/pair1coleoptileRecoveryTotalTTAGGC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2coleoptileRecoveryTotalTTAGGC.fastq.gz
rootHypoxiaPolysomal1	Zmays	rootHypoxiaPolysomal	B73	rootHypoxiaPolysomal_1	/home/springer/sna/te_expression/submergence/reads/pair1rootHypoxiaPolysomalGAGTGG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2rootHypoxiaPolysomalGAGTGG.fastq.gz
rootHypoxiaPolysomal2	Zmays	rootHypoxiaPolysomal	B73	rootHypoxiaPolysomal_2	/home/springer/sna/te_expression/submergence/reads/pair1rootHypoxiaPolysomalGGCTAC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2rootHypoxiaPolysomalGGCTAC.fastq.gz
rootHypoxiaTotal1	Zmays	rootHypoxiaTotal	B73	rootHypoxiaTotal_1	/home/springer/sna/te_expression/submergence/reads/pair1rootHypoxiaTotalGCCAAT.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2rootHypoxiaTotalGCCAAT.fastq.gz
rootHypoxiaTotal2	Zmays	rootHypoxiaTotal	B73	rootHypoxiaTotal_2	/home/springer/sna/te_expression/submergence/reads/pair1rootHypoxiaTotalGTTTCG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2rootHypoxiaTotalGTTTCG.fastq.gz
rootNormoxiaPolysomal1	Zmays	rootNormoxiaPolysomal	B73	rootNormoxiaPolysomal_1	/home/springer/sna/te_expression/submergence/reads/pair1rootNormoxiaPolysomalGTGGCC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2rootNormoxiaPolysomalGTGGCC.fastq.gz
rootNormoxiaPolysomal2	Zmays	rootNormoxiaPolysomal	B73	rootNormoxiaPolysomal_2	/home/springer/sna/te_expression/submergence/reads/pair1rootNormoxiaPolysomalTAGCTT.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2rootNormoxiaPolysomalTAGCTT.fastq.gz
rootNormoxiaTotal1	Zmays	rootNormoxiaTotal	B73	rootNormoxiaTotal_1	/home/springer/sna/te_expression/submergence/reads/pair1rootNormoxiaTotalACAGTG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2rootNormoxiaTotalACAGTG.fastq.gz
rootNormoxiaTotal2	Zmays	rootNormoxiaTotal	B73	rootNormoxiaTotal_2	/home/springer/sna/te_expression/submergence/reads/pair1rootNormoxiaTotalATGTCA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2rootNormoxiaTotalATGTCA.fastq.gz
rootRecoveryPolysomal1	Zmays	rootRecoveryPolysomal	B73	rootRecoveryPolysomal_1	/home/springer/sna/te_expression/submergence/reads/pair1rootRecoveryPolysomalCTTGTA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2rootRecoveryPolysomalCTTGTA.fastq.gz
rootRecoveryPolysomal2	Zmays	rootRecoveryPolysomal	B73	rootRecoveryPolysomal_2	/home/springer/sna/te_expression/submergence/reads/pair1rootRecoveryPolysomalTACAGC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2rootRecoveryPolysomalTACAGC.fastq.gz
rootRecoveryTotal1	Zmays	rootRecoveryTotal	B73	rootRecoveryTotal_1	/home/springer/sna/te_expression/submergence/reads/pair1rootRecoveryTotalCCAACA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2rootRecoveryTotalCCAACA.fastq.gz
rootRecoveryTotal2	Zmays	rootRecoveryTotal	B73	rootRecoveryTotal_2	/home/springer/sna/te_expression/submergence/reads/pair1rootRecoveryTotalGTAGAG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2rootRecoveryTotalGTAGAG.fastq.gz
