SampleID	Tissue	Genotype	Treatment	Replicate	directory	file_prefix
batch1-A3	batch1		TC24	1	/scratch.global/zhoux379/stress/data/batch1/demul	A3
batch1-H4	batch1		TC25	1	/scratch.global/zhoux379/stress/data/batch1/demul	H4
batch1-G4	batch1		TC26	1	/scratch.global/zhoux379/stress/data/batch1/demul	G4
batch1-F4	batch1		TC27	1	/scratch.global/zhoux379/stress/data/batch1/demul	F4
batch1-E4	batch1		TC28	1	/scratch.global/zhoux379/stress/data/batch1/demul	E4
batch1-D4	batch1		TC29	1	/scratch.global/zhoux379/stress/data/batch1/demul	D4
batch1-C4	batch1		TC30	1	/scratch.global/zhoux379/stress/data/batch1/demul	C4
batch1-B4	batch1		TC31	1	/scratch.global/zhoux379/stress/data/batch1/demul	B4
batch1-A4	batch1		TC32	1	/scratch.global/zhoux379/stress/data/batch1/demul	A4
batch1-H5	batch1		TC33	1	/scratch.global/zhoux379/stress/data/batch1/demul	H5
batch1-G5	batch1		TC34	1	/scratch.global/zhoux379/stress/data/batch1/demul	G5
batch1-F5	batch1		TC35	1	/scratch.global/zhoux379/stress/data/batch1/demul	F5
batch1-E5	batch1		TC36	1	/scratch.global/zhoux379/stress/data/batch1/demul	E5
batch1-D5	batch1		TC37	1	/scratch.global/zhoux379/stress/data/batch1/demul	D5
batch1-C5	batch1		TC38	1	/scratch.global/zhoux379/stress/data/batch1/demul	C5
batch1-B5	batch1		TC39	1	/scratch.global/zhoux379/stress/data/batch1/demul	B5
batch1-A5	batch1		TC40	1	/scratch.global/zhoux379/stress/data/batch1/demul	A5
batch1-H6	batch1		TC41	1	/scratch.global/zhoux379/stress/data/batch1/demul	H6
batch1-G6	batch1		TC42	1	/scratch.global/zhoux379/stress/data/batch1/demul	G6
batch1-F6	batch1		TC43	1	/scratch.global/zhoux379/stress/data/batch1/demul	F6
batch1-E6	batch1		TC44	1	/scratch.global/zhoux379/stress/data/batch1/demul	E6
batch1-D6	batch1		TC45	1	/scratch.global/zhoux379/stress/data/batch1/demul	D6
batch1-C6	batch1		TC46	1	/scratch.global/zhoux379/stress/data/batch1/demul	C6
batch1-B6	batch1		TC47	1	/scratch.global/zhoux379/stress/data/batch1/demul	B6
batch1-A6	batch1		TC48	1	/scratch.global/zhoux379/stress/data/batch1/demul	A6
batch1-H7	batch1		TC49	1	/scratch.global/zhoux379/stress/data/batch1/demul	H7
batch1-G7	batch1		TC50	1	/scratch.global/zhoux379/stress/data/batch1/demul	G7
batch1-F7	batch1		TC51	1	/scratch.global/zhoux379/stress/data/batch1/demul	F7
batch1-E7	batch1		TC52	1	/scratch.global/zhoux379/stress/data/batch1/demul	E7
batch1-D7	batch1		TC53	1	/scratch.global/zhoux379/stress/data/batch1/demul	D7
batch1-C7	batch1		TC54	1	/scratch.global/zhoux379/stress/data/batch1/demul	C7
batch1-B7	batch1		TC55	1	/scratch.global/zhoux379/stress/data/batch1/demul	B7
batch1-A7	batch1		TC56	1	/scratch.global/zhoux379/stress/data/batch1/demul	A7
batch1-H8	batch1		TC57	1	/scratch.global/zhoux379/stress/data/batch1/demul	H8
batch1-G8	batch1		TC58	1	/scratch.global/zhoux379/stress/data/batch1/demul	G8
batch1-F8	batch1		TC59	1	/scratch.global/zhoux379/stress/data/batch1/demul	F8
batch1-E8	batch1		TC60	1	/scratch.global/zhoux379/stress/data/batch1/demul	E8
batch1-D8	batch1		TC61	1	/scratch.global/zhoux379/stress/data/batch1/demul	D8
batch1-C8	batch1		TC62	1	/scratch.global/zhoux379/stress/data/batch1/demul	C8
batch1-B8	batch1		TC63	1	/scratch.global/zhoux379/stress/data/batch1/demul	B8
batch1-A8	batch1		TC64	1	/scratch.global/zhoux379/stress/data/batch1/demul	A8
batch1-H9	batch1		TC65	1	/scratch.global/zhoux379/stress/data/batch1/demul	H9
batch1-G9	batch1		TC66	1	/scratch.global/zhoux379/stress/data/batch1/demul	G9
batch2a-H1	batch2a		HY1	1	/scratch.global/zhoux379/stress/data/batch2a/demul	H1
batch2a-G1	batch2a		HY2	1	/scratch.global/zhoux379/stress/data/batch2a/demul	G1
batch2a-F1	batch2a		HY3	1	/scratch.global/zhoux379/stress/data/batch2a/demul	F1
batch2a-E1	batch2a		HY4	1	/scratch.global/zhoux379/stress/data/batch2a/demul	E1
batch2a-D1	batch2a		HY5	1	/scratch.global/zhoux379/stress/data/batch2a/demul	D1
batch2a-C1	batch2a		HY6	1	/scratch.global/zhoux379/stress/data/batch2a/demul	C1
batch2a-B1	batch2a		HY7	1	/scratch.global/zhoux379/stress/data/batch2a/demul	B1
batch2a-A1	batch2a		HY8	1	/scratch.global/zhoux379/stress/data/batch2a/demul	A1
batch2a-H2	batch2a		HY9	1	/scratch.global/zhoux379/stress/data/batch2a/demul	H2
batch2a-G2	batch2a		HY10	1	/scratch.global/zhoux379/stress/data/batch2a/demul	G2
batch2a-F2	batch2a		HY11	1	/scratch.global/zhoux379/stress/data/batch2a/demul	F2
batch2a-E2	batch2a		HY12	1	/scratch.global/zhoux379/stress/data/batch2a/demul	E2
batch2a-D2	batch2a		HY13	1	/scratch.global/zhoux379/stress/data/batch2a/demul	D2
batch2a-C2	batch2a		HY14	1	/scratch.global/zhoux379/stress/data/batch2a/demul	C2
batch2a-B2	batch2a		HY15	1	/scratch.global/zhoux379/stress/data/batch2a/demul	B2
batch2a-A2	batch2a		HY16	1	/scratch.global/zhoux379/stress/data/batch2a/demul	A2
batch2a-H3	batch2a		HY17	1	/scratch.global/zhoux379/stress/data/batch2a/demul	H3
batch2a-G3	batch2a		HY18	1	/scratch.global/zhoux379/stress/data/batch2a/demul	G3
batch2a-F3	batch2a		HY19	1	/scratch.global/zhoux379/stress/data/batch2a/demul	F3
batch2a-E3	batch2a		HY20	1	/scratch.global/zhoux379/stress/data/batch2a/demul	E3
batch2a-D3	batch2a		HY21	1	/scratch.global/zhoux379/stress/data/batch2a/demul	D3
batch2a-C3	batch2a		HY22	1	/scratch.global/zhoux379/stress/data/batch2a/demul	C3
batch2a-B3	batch2a		HY23	1	/scratch.global/zhoux379/stress/data/batch2a/demul	B3
batch2a-A3	batch2a		HY24	1	/scratch.global/zhoux379/stress/data/batch2a/demul	A3
batch2a-H4	batch2a		HY25	1	/scratch.global/zhoux379/stress/data/batch2a/demul	H4
batch2a-G4	batch2a		HY26	1	/scratch.global/zhoux379/stress/data/batch2a/demul	G4
batch2a-F4	batch2a		HY27	1	/scratch.global/zhoux379/stress/data/batch2a/demul	F4
batch2a-E4	batch2a		HY28	1	/scratch.global/zhoux379/stress/data/batch2a/demul	E4
batch2a-D4	batch2a		HY29	1	/scratch.global/zhoux379/stress/data/batch2a/demul	D4
batch2a-C4	batch2a		HY30	1	/scratch.global/zhoux379/stress/data/batch2a/demul	C4
batch2a-B4	batch2a		HY31	1	/scratch.global/zhoux379/stress/data/batch2a/demul	B4
batch2a-A4	batch2a		HY32	1	/scratch.global/zhoux379/stress/data/batch2a/demul	A4
batch2a-H5	batch2a		HY33	1	/scratch.global/zhoux379/stress/data/batch2a/demul	H5
batch2a-G5	batch2a		HY34	1	/scratch.global/zhoux379/stress/data/batch2a/demul	G5
batch2a-F5	batch2a		HY35	1	/scratch.global/zhoux379/stress/data/batch2a/demul	F5
batch2a-E5	batch2a		HY36	1	/scratch.global/zhoux379/stress/data/batch2a/demul	E5
batch2a-D5	batch2a		HY37	1	/scratch.global/zhoux379/stress/data/batch2a/demul	D5
batch2a-C5	batch2a		HY38	1	/scratch.global/zhoux379/stress/data/batch2a/demul	C5
batch2a-B5	batch2a		HY39	1	/scratch.global/zhoux379/stress/data/batch2a/demul	B5
batch2a-A5	batch2a		HY40	1	/scratch.global/zhoux379/stress/data/batch2a/demul	A5
batch2a-H6	batch2a		HY41	1	/scratch.global/zhoux379/stress/data/batch2a/demul	H6
batch2a-G6	batch2a		HY42	1	/scratch.global/zhoux379/stress/data/batch2a/demul	G6
batch2a-F6	batch2a		HY43	1	/scratch.global/zhoux379/stress/data/batch2a/demul	F6
batch2a-E6	batch2a		HY44	1	/scratch.global/zhoux379/stress/data/batch2a/demul	E6
batch2a-D6	batch2a		HY45	1	/scratch.global/zhoux379/stress/data/batch2a/demul	D6
batch2a-C6	batch2a		HY46	1	/scratch.global/zhoux379/stress/data/batch2a/demul	C6
batch2a-B6	batch2a		HY47	1	/scratch.global/zhoux379/stress/data/batch2a/demul	B6
batch2a-A6	batch2a		HY48	1	/scratch.global/zhoux379/stress/data/batch2a/demul	A6
batch2a-H7	batch2a		HY49	1	/scratch.global/zhoux379/stress/data/batch2a/demul	H7
batch2a-G7	batch2a		HY50	1	/scratch.global/zhoux379/stress/data/batch2a/demul	G7
batch2a-F7	batch2a		HY51	1	/scratch.global/zhoux379/stress/data/batch2a/demul	F7
batch2a-E7	batch2a		HY52	1	/scratch.global/zhoux379/stress/data/batch2a/demul	E7
batch2a-D7	batch2a		HY53	1	/scratch.global/zhoux379/stress/data/batch2a/demul	D7
batch2a-C7	batch2a		HY54	1	/scratch.global/zhoux379/stress/data/batch2a/demul	C7
batch2a-B7	batch2a		HY55	1	/scratch.global/zhoux379/stress/data/batch2a/demul	B7
batch2a-A7	batch2a		HY56	1	/scratch.global/zhoux379/stress/data/batch2a/demul	A7
batch2a-H8	batch2a		HY57	1	/scratch.global/zhoux379/stress/data/batch2a/demul	H8
batch2a-G8	batch2a		HY58	1	/scratch.global/zhoux379/stress/data/batch2a/demul	G8
batch2a-F8	batch2a		HY59	1	/scratch.global/zhoux379/stress/data/batch2a/demul	F8
batch2a-E8	batch2a		HY60	1	/scratch.global/zhoux379/stress/data/batch2a/demul	E8
batch2a-D8	batch2a		HY61	1	/scratch.global/zhoux379/stress/data/batch2a/demul	D8
batch2a-C8	batch2a		HY62	1	/scratch.global/zhoux379/stress/data/batch2a/demul	C8
batch2a-B8	batch2a		HY63	1	/scratch.global/zhoux379/stress/data/batch2a/demul	B8
batch2a-A8	batch2a		HY64	1	/scratch.global/zhoux379/stress/data/batch2a/demul	A8
batch2b-H1	batch2b		HY65	1	/scratch.global/zhoux379/stress/data/batch2b/demul	H1
batch2b-G1	batch2b		HY66	1	/scratch.global/zhoux379/stress/data/batch2b/demul	G1
batch2b-F1	batch2b		HY67	1	/scratch.global/zhoux379/stress/data/batch2b/demul	F1
batch2b-E1	batch2b		HY68	1	/scratch.global/zhoux379/stress/data/batch2b/demul	E1
batch2b-D1	batch2b		HY69	1	/scratch.global/zhoux379/stress/data/batch2b/demul	D1
batch2b-C1	batch2b		HY70	1	/scratch.global/zhoux379/stress/data/batch2b/demul	C1
batch2b-B1	batch2b		HY71	1	/scratch.global/zhoux379/stress/data/batch2b/demul	B1
batch2b-A1	batch2b		HY72	1	/scratch.global/zhoux379/stress/data/batch2b/demul	A1
batch2b-H2	batch2b		HY73	1	/scratch.global/zhoux379/stress/data/batch2b/demul	H2
batch2b-G2	batch2b		HY74	1	/scratch.global/zhoux379/stress/data/batch2b/demul	G2
batch2b-F2	batch2b		HY75	1	/scratch.global/zhoux379/stress/data/batch2b/demul	F2
batch2b-E2	batch2b		HY76	1	/scratch.global/zhoux379/stress/data/batch2b/demul	E2
batch2b-D2	batch2b		HY77	1	/scratch.global/zhoux379/stress/data/batch2b/demul	D2
batch2b-C2	batch2b		HY78	1	/scratch.global/zhoux379/stress/data/batch2b/demul	C2
batch2b-B2	batch2b		HY79	1	/scratch.global/zhoux379/stress/data/batch2b/demul	B2
batch2b-A2	batch2b		HY80	1	/scratch.global/zhoux379/stress/data/batch2b/demul	A2
batch2b-H3	batch2b		HY81	1	/scratch.global/zhoux379/stress/data/batch2b/demul	H3
batch2b-G3	batch2b		HY82	1	/scratch.global/zhoux379/stress/data/batch2b/demul	G3
batch2b-F3	batch2b		HY83	1	/scratch.global/zhoux379/stress/data/batch2b/demul	F3
batch2b-E3	batch2b		HY84	1	/scratch.global/zhoux379/stress/data/batch2b/demul	E3
batch2b-D3	batch2b		HY85	1	/scratch.global/zhoux379/stress/data/batch2b/demul	D3
batch2b-C3	batch2b		HY86	1	/scratch.global/zhoux379/stress/data/batch2b/demul	C3
batch2b-B3	batch2b		HY87	1	/scratch.global/zhoux379/stress/data/batch2b/demul	B3
batch2b-A3	batch2b		HY88	1	/scratch.global/zhoux379/stress/data/batch2b/demul	A3
batch2b-H4	batch2b		HY89	1	/scratch.global/zhoux379/stress/data/batch2b/demul	H4
batch2b-G4	batch2b		HY90	1	/scratch.global/zhoux379/stress/data/batch2b/demul	G4
batch2b-F4	batch2b		HY91	1	/scratch.global/zhoux379/stress/data/batch2b/demul	F4
batch2b-E4	batch2b		HY92	1	/scratch.global/zhoux379/stress/data/batch2b/demul	E4
batch2b-D4	batch2b		HY93	1	/scratch.global/zhoux379/stress/data/batch2b/demul	D4
batch2b-C4	batch2b		HY94	1	/scratch.global/zhoux379/stress/data/batch2b/demul	C4
batch2b-B4	batch2b		HY95	1	/scratch.global/zhoux379/stress/data/batch2b/demul	B4
batch2b-A4	batch2b		HY96	1	/scratch.global/zhoux379/stress/data/batch2b/demul	A4
batch2b-H5	batch2b		HY97	1	/scratch.global/zhoux379/stress/data/batch2b/demul	H5
batch2b-G5	batch2b		HY98	1	/scratch.global/zhoux379/stress/data/batch2b/demul	G5
batch2b-F5	batch2b		HY99	1	/scratch.global/zhoux379/stress/data/batch2b/demul	F5
batch2b-E5	batch2b		HY100	1	/scratch.global/zhoux379/stress/data/batch2b/demul	E5
batch2b-D5	batch2b		HY101	1	/scratch.global/zhoux379/stress/data/batch2b/demul	D5
batch2b-C5	batch2b		HY102	1	/scratch.global/zhoux379/stress/data/batch2b/demul	C5
batch2b-B5	batch2b		HY103	1	/scratch.global/zhoux379/stress/data/batch2b/demul	B5
batch2b-A5	batch2b		HY104	1	/scratch.global/zhoux379/stress/data/batch2b/demul	A5
batch2b-H6	batch2b		HY105	1	/scratch.global/zhoux379/stress/data/batch2b/demul	H6
batch2b-G6	batch2b		HY106	1	/scratch.global/zhoux379/stress/data/batch2b/demul	G6
batch2b-F6	batch2b		HY107	1	/scratch.global/zhoux379/stress/data/batch2b/demul	F6
batch2b-E6	batch2b		HY108	1	/scratch.global/zhoux379/stress/data/batch2b/demul	E6
batch2b-D6	batch2b		HY109	1	/scratch.global/zhoux379/stress/data/batch2b/demul	D6
batch2b-C6	batch2b		HY110	1	/scratch.global/zhoux379/stress/data/batch2b/demul	C6
batch2b-B6	batch2b		HY111	1	/scratch.global/zhoux379/stress/data/batch2b/demul	B6
batch2b-A6	batch2b		HY112	1	/scratch.global/zhoux379/stress/data/batch2b/demul	A6
batch2b-H7	batch2b		HY113	1	/scratch.global/zhoux379/stress/data/batch2b/demul	H7
batch2b-G7	batch2b		HY114	1	/scratch.global/zhoux379/stress/data/batch2b/demul	G7
batch2b-F7	batch2b		HY115	1	/scratch.global/zhoux379/stress/data/batch2b/demul	F7
batch2b-E7	batch2b		HY116	1	/scratch.global/zhoux379/stress/data/batch2b/demul	E7
batch2b-D7	batch2b		HY117	1	/scratch.global/zhoux379/stress/data/batch2b/demul	D7
batch2b-C7	batch2b		HY118	1	/scratch.global/zhoux379/stress/data/batch2b/demul	C7
batch2b-B7	batch2b		HY119	1	/scratch.global/zhoux379/stress/data/batch2b/demul	B7
batch2b-A7	batch2b		HY120	1	/scratch.global/zhoux379/stress/data/batch2b/demul	A7
batch2b-H8	batch2b		HY121	1	/scratch.global/zhoux379/stress/data/batch2b/demul	H8
batch2b-G8	batch2b		HY122	1	/scratch.global/zhoux379/stress/data/batch2b/demul	G8
batch2b-F8	batch2b		HY123	1	/scratch.global/zhoux379/stress/data/batch2b/demul	F8
batch2b-E8	batch2b		HY124	1	/scratch.global/zhoux379/stress/data/batch2b/demul	E8
batch2b-D8	batch2b		HY125	1	/scratch.global/zhoux379/stress/data/batch2b/demul	D8
batch2b-C8	batch2b		HY126	1	/scratch.global/zhoux379/stress/data/batch2b/demul	C8
batch3-H1	batch3		HY1	1	/scratch.global/zhoux379/stress/data/batch3/demul	H1
batch3-G1	batch3		HY2	1	/scratch.global/zhoux379/stress/data/batch3/demul	G1
batch3-F1	batch3		HY3	1	/scratch.global/zhoux379/stress/data/batch3/demul	F1
batch3-E1	batch3		HY4	1	/scratch.global/zhoux379/stress/data/batch3/demul	E1
batch3-D1	batch3		HY5	1	/scratch.global/zhoux379/stress/data/batch3/demul	D1
batch3-C1	batch3		HY6	1	/scratch.global/zhoux379/stress/data/batch3/demul	C1
batch3-B1	batch3		HY7	1	/scratch.global/zhoux379/stress/data/batch3/demul	B1
batch3-A1	batch3		HY8	1	/scratch.global/zhoux379/stress/data/batch3/demul	A1
batch3-H2	batch3		HY9	1	/scratch.global/zhoux379/stress/data/batch3/demul	H2
batch3-G2	batch3		HY10	1	/scratch.global/zhoux379/stress/data/batch3/demul	G2
batch3-F2	batch3		HY11	1	/scratch.global/zhoux379/stress/data/batch3/demul	F2
batch3-E2	batch3		HY12	1	/scratch.global/zhoux379/stress/data/batch3/demul	E2
batch3-D2	batch3		HY13	1	/scratch.global/zhoux379/stress/data/batch3/demul	D2
batch3-C2	batch3		HY14	1	/scratch.global/zhoux379/stress/data/batch3/demul	C2
batch3-B2	batch3		HY15	1	/scratch.global/zhoux379/stress/data/batch3/demul	B2
batch3-A2	batch3		HY16	1	/scratch.global/zhoux379/stress/data/batch3/demul	A2
batch3-H3	batch3		HY17	1	/scratch.global/zhoux379/stress/data/batch3/demul	H3
batch3-G3	batch3		HY18	1	/scratch.global/zhoux379/stress/data/batch3/demul	G3
batch3-F3	batch3		HY19	1	/scratch.global/zhoux379/stress/data/batch3/demul	F3
batch3-E3	batch3		HY20	1	/scratch.global/zhoux379/stress/data/batch3/demul	E3
batch3-D3	batch3		HY21	1	/scratch.global/zhoux379/stress/data/batch3/demul	D3
batch3-C3	batch3		HY22	1	/scratch.global/zhoux379/stress/data/batch3/demul	C3
batch3-B3	batch3		HY23	1	/scratch.global/zhoux379/stress/data/batch3/demul	B3
batch3-A3	batch3		HY24	1	/scratch.global/zhoux379/stress/data/batch3/demul	A3
batch3-H4	batch3		HY25	1	/scratch.global/zhoux379/stress/data/batch3/demul	H4
batch3-G4	batch3		HY26	1	/scratch.global/zhoux379/stress/data/batch3/demul	G4
batch3-F4	batch3		HY27	1	/scratch.global/zhoux379/stress/data/batch3/demul	F4
batch3-E4	batch3		HY28	1	/scratch.global/zhoux379/stress/data/batch3/demul	E4
batch3-D4	batch3		HY29	1	/scratch.global/zhoux379/stress/data/batch3/demul	D4
batch3-C4	batch3		HY30	1	/scratch.global/zhoux379/stress/data/batch3/demul	C4
batch3-B4	batch3		HY31	1	/scratch.global/zhoux379/stress/data/batch3/demul	B4
batch3-A4	batch3		HY32	1	/scratch.global/zhoux379/stress/data/batch3/demul	A4
batch3-H5	batch3		HY33	1	/scratch.global/zhoux379/stress/data/batch3/demul	H5
batch3-G5	batch3		HY34	1	/scratch.global/zhoux379/stress/data/batch3/demul	G5
batch3-F5	batch3		HY35	1	/scratch.global/zhoux379/stress/data/batch3/demul	F5
batch3-E5	batch3		HY36	1	/scratch.global/zhoux379/stress/data/batch3/demul	E5
batch3-D5	batch3		HY37	1	/scratch.global/zhoux379/stress/data/batch3/demul	D5
batch3-C5	batch3		HY38	1	/scratch.global/zhoux379/stress/data/batch3/demul	C5
batch3-B5	batch3		HY39	1	/scratch.global/zhoux379/stress/data/batch3/demul	B5
batch3-A5	batch3		HY40	1	/scratch.global/zhoux379/stress/data/batch3/demul	A5
batch3-H6	batch3		HY41	1	/scratch.global/zhoux379/stress/data/batch3/demul	H6
batch3-G6	batch3		HY42	1	/scratch.global/zhoux379/stress/data/batch3/demul	G6
batch3-F6	batch3		HY43	1	/scratch.global/zhoux379/stress/data/batch3/demul	F6
batch3-E6	batch3		HY44	1	/scratch.global/zhoux379/stress/data/batch3/demul	E6
batch3-D6	batch3		HY45	1	/scratch.global/zhoux379/stress/data/batch3/demul	D6
batch3-C6	batch3		HY46	1	/scratch.global/zhoux379/stress/data/batch3/demul	C6
batch3-B6	batch3		HY47	1	/scratch.global/zhoux379/stress/data/batch3/demul	B6
batch3-A6	batch3		HY48	1	/scratch.global/zhoux379/stress/data/batch3/demul	A6
batch3-H7	batch3		HY49	1	/scratch.global/zhoux379/stress/data/batch3/demul	H7
batch3-G7	batch3		HY50	1	/scratch.global/zhoux379/stress/data/batch3/demul	G7
batch3-F7	batch3		HY51	1	/scratch.global/zhoux379/stress/data/batch3/demul	F7
batch3-E7	batch3		HY52	1	/scratch.global/zhoux379/stress/data/batch3/demul	E7
batch3-D7	batch3		HY53	1	/scratch.global/zhoux379/stress/data/batch3/demul	D7
batch3-C7	batch3		HY54	1	/scratch.global/zhoux379/stress/data/batch3/demul	C7
batch3-B7	batch3		HY55	1	/scratch.global/zhoux379/stress/data/batch3/demul	B7
batch3-A7	batch3		HY56	1	/scratch.global/zhoux379/stress/data/batch3/demul	A7
batch3-H8	batch3		HY57	1	/scratch.global/zhoux379/stress/data/batch3/demul	H8
batch3-G8	batch3		HY58	1	/scratch.global/zhoux379/stress/data/batch3/demul	G8
batch3-F8	batch3		HY59	1	/scratch.global/zhoux379/stress/data/batch3/demul	F8
batch3-E8	batch3		HY60	1	/scratch.global/zhoux379/stress/data/batch3/demul	E8
batch3-D8	batch3		HY61	1	/scratch.global/zhoux379/stress/data/batch3/demul	D8
batch3-C8	batch3		HY62	1	/scratch.global/zhoux379/stress/data/batch3/demul	C8
batch3-B8	batch3		HY63	1	/scratch.global/zhoux379/stress/data/batch3/demul	B8
batch3-A8	batch3		HY64	1	/scratch.global/zhoux379/stress/data/batch3/demul	A8
batch3-H9	batch3		HY65	1	/scratch.global/zhoux379/stress/data/batch3/demul	H9
batch3-G9	batch3		HY66	1	/scratch.global/zhoux379/stress/data/batch3/demul	G9
batch3-F9	batch3		HY67	1	/scratch.global/zhoux379/stress/data/batch3/demul	F9
batch3-E9	batch3		HY68	1	/scratch.global/zhoux379/stress/data/batch3/demul	E9
batch3-D9	batch3		HY69	1	/scratch.global/zhoux379/stress/data/batch3/demul	D9
batch3-C9	batch3		HY70	1	/scratch.global/zhoux379/stress/data/batch3/demul	C9
batch3-B9	batch3		HY71	1	/scratch.global/zhoux379/stress/data/batch3/demul	B9
batch3-A9	batch3		HY72	1	/scratch.global/zhoux379/stress/data/batch3/demul	A9
batch3-H10	batch3		HY73	1	/scratch.global/zhoux379/stress/data/batch3/demul	H10
batch3-G10	batch3		HY74	1	/scratch.global/zhoux379/stress/data/batch3/demul	G10
batch3-F10	batch3		HY75	1	/scratch.global/zhoux379/stress/data/batch3/demul	F10
batch3-E10	batch3		HY76	1	/scratch.global/zhoux379/stress/data/batch3/demul	E10
batch3-D10	batch3		HY77	1	/scratch.global/zhoux379/stress/data/batch3/demul	D10
batch3-C10	batch3		HY78	1	/scratch.global/zhoux379/stress/data/batch3/demul	C10
batch3-B10	batch3		HY79	1	/scratch.global/zhoux379/stress/data/batch3/demul	B10
batch3-A10	batch3		HY80	1	/scratch.global/zhoux379/stress/data/batch3/demul	A10
batch3-H11	batch3		HY81	1	/scratch.global/zhoux379/stress/data/batch3/demul	H11
batch3-G11	batch3		HY82	1	/scratch.global/zhoux379/stress/data/batch3/demul	G11
batch3-F11	batch3		HY83	1	/scratch.global/zhoux379/stress/data/batch3/demul	F11
batch3-E11	batch3		HY84	1	/scratch.global/zhoux379/stress/data/batch3/demul	E11
batch3-D11	batch3		HY85	1	/scratch.global/zhoux379/stress/data/batch3/demul	D11
batch3-C11	batch3		HY86	1	/scratch.global/zhoux379/stress/data/batch3/demul	C11
batch3-B11	batch3		HY87	1	/scratch.global/zhoux379/stress/data/batch3/demul	B11
batch3-A11	batch3		HY88	1	/scratch.global/zhoux379/stress/data/batch3/demul	A11
batch3-H12	batch3		HY89	1	/scratch.global/zhoux379/stress/data/batch3/demul	H12
batch3-G12	batch3		HY90	1	/scratch.global/zhoux379/stress/data/batch3/demul	G12
batch3-F12	batch3		HY91	1	/scratch.global/zhoux379/stress/data/batch3/demul	F12
batch3-E12	batch3		HY92	1	/scratch.global/zhoux379/stress/data/batch3/demul	E12
batch3-D12	batch3		HY93	1	/scratch.global/zhoux379/stress/data/batch3/demul	D12
batch3-C12	batch3		HY94	1	/scratch.global/zhoux379/stress/data/batch3/demul	C12
batch3-B12	batch3		HY95	1	/scratch.global/zhoux379/stress/data/batch3/demul	B12
batch3-A12	batch3		HY96	1	/scratch.global/zhoux379/stress/data/batch3/demul	A12
