SampleID	Tissue	Genotype	Treatment	directory	file_prefix
BR049	ear	Mo17	v14	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool3_18_index13_S49
BR050	ear	Mo17	v14	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool3_18_index20_S52
BR051	ear	Mo17	v14	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool3_18_index14_S50
BR052	ear	B73xMo17	v14	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool3_18_index21_S53
BR053	ear	B73xMo17	v14	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool3_18_index15_S51
BR054	ear	B73xMo17	v14	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool3_18_index22_S54
BR055	silk	B73	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool4_18_index2_S56
BR056	silk	B73	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool4_18_index1_S55
BR057	silk	B73	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool4_18_index4_S58
BR058	silk	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool4_18_index3_S57
BR059	silk	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool4_18_index5_S59
BR060	silk	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool4_18_index8_S62
BR061	silk	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool4_18_index6_S60
BR062	silk	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool4_18_index9_S63
BR063	silk	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool4_18_index7_S61
BR064	spikelet	B73	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool4_18_index10_S64
BR065	spikelet	B73	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool4_18_index12_S66
BR066	spikelet	B73	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool4_18_index11_S65
BR067	spikelet	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool4_18_index13_S67
BR068	spikelet	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool4_18_index20_S70
BR069	spikelet	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool4_18_index14_S68
BR070	spikelet	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool4_18_index21_S71
BR071	spikelet	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool4_18_index15_S69
BR072	spikelet	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool4_18_index22_S72
BR073	husk	B73	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool5_18_index2_S74
BR074	husk	B73	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool5_18_index1_S73
BR075	husk	B73	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool5_18_index4_S76
BR076	husk	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool5_18_index3_S75
BR077	husk	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool5_18_index5_S77
BR078	husk	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool5_18_index8_S80
BR079	husk	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool5_18_index6_S78
BR080	husk	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool5_18_index9_S81
BR081	husk	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool5_18_index7_S79
BR082	tassel_stem	B73	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool5_18_index10_S82
BR083	tassel_stem	B73	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool5_18_index12_S84
BR084	tassel_stem	B73	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool5_18_index11_S83
BR085	tassel_stem	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool5_18_index13_S85
BR086	tassel_stem	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool5_18_index20_S88
BR087	tassel_stem	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool5_18_index14_S86
BR088	tassel_stem	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool5_18_index21_S89
BR089	tassel_stem	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool5_18_index15_S87
BR090	tassel_stem	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170127_D00635_0197_ACAC47ANXX/Springer_Project_052_Run1_Redemux	briggs_pool5_18_index22_S90
BR091	floret	B73	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index2_S9
BR092	floret	B73	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index1_S8
BR093	floret	B73	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index4_S11
BR094	floret	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index3_S10
BR095	floret	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index5_S12
BR096	floret	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index8_S15
BR097	floret	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index6_S13
BR098	floret	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index9_S16
BR099	floret	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index7_S14
BR118	kernel	B73	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index10_S17
BR119	kernel	B73	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index12_S19
BR120	kernel	B73	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index11_S18
BR121	kernel	Mo17	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index13_S20
BR122	kernel	Mo17	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index20_S25
BR123	kernel	Mo17	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index14_S21
BR124	kernel	B73xMo17	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index21_S26
BR125	kernel	B73xMo17	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index15_S22
BR126	kernel	B73xMo17	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index22_S27
BR127	kernel	Mo17xB73	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index16_S23
BR128	kernel	Mo17xB73	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index23_S28
BR129	kernel	Mo17xB73	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool6_21_index18_S24
BR100	flag_leaf	B73	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool7_18_index2_S30
BR101	flag_leaf	B73	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool7_18_index4_S32
BR102	flag_leaf	B73	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool7_18_index5_S33
BR103	flag_leaf	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool7_18_index27_S46
BR104	flag_leaf	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool7_18_index25_S45
BR105	flag_leaf	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool7_18_index6_S34
BR106	flag_leaf	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool7_18_index7_S35
BR107	flag_leaf	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool7_18_index23_S44
BR108	flag_leaf	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool7_18_index12_S40
BR109	root	B73	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool7_18_index1_S29
BR110	root	B73	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool7_18_index9_S37
BR111	root	B73	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool7_18_index11_S39
BR112	root	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool7_18_index20_S41
BR113	root	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool7_18_index21_S42
BR114	root	Mo17	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool7_18_index22_S43
BR115	root	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool7_18_index10_S38
BR116	root	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool7_18_index3_S31
BR117	root	B73xMo17	0DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool7_18_index8_S36
BR130	endosperm14D	B73	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index2_S48
BR131	endosperm14D	B73	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index1_S47
BR132	endosperm14D	B73	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index4_S50
BR133	endosperm14D	Mo17	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index3_S49
BR134	endosperm14D	Mo17	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index5_S51
BR135	endosperm14D	Mo17	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index8_S54
BR136	endosperm14D	B73xMo17	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index6_S52
BR137	endosperm14D	B73xMo17	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index9_S55
BR138	endosperm14D	B73xMo17	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index7_S53
BR139	endosperm14D	Mo17xB73	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index10_S56
BR140	endosperm14D	Mo17xB73	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index12_S58
BR141	endosperm14D	Mo17xB73	14DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index11_S57
BR142	embryo	B73	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index13_S59
BR143	embryo	B73	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index20_S65
BR144	embryo	B73	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index14_S60
BR145	embryo	Mo17	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index21_S66
BR146	embryo	Mo17	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index15_S61
BR147	embryo	Mo17	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index22_S67
BR148	embryo	B73xMo17	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index16_S62
BR149	embryo	B73xMo17	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index23_S68
BR150	embryo	B73xMo17	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index18_S63
BR151	embryo	Mo17xB73	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index25_S69
BR152	embryo	Mo17xB73	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index19_S64
BR153	embryo	Mo17xB73	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool8_24_index27_S70
BR154	endosperm27D	B73	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool9_12_index2_S72
BR155	endosperm27D	B73	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool9_12_index1_S71
BR156	endosperm27D	B73	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool9_12_index4_S74
BR157	endosperm27D	Mo17	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool9_12_index3_S73
BR158	endosperm27D	Mo17	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool9_12_index5_S75
BR159	endosperm27D	Mo17	27DAP	/home/springer/data_release/umgc/hiseq/170210_D00635_0201_BCAK8EANXX/Springer_Project_052	briggs_pool9_12_index8_S78
