SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	inbred	spots	avgLength
SRR7975331	seedling	91BMA2		1	m082	TRUE	TRUE	13927941	302
SRR7975332	seedling	F274		1	m083	TRUE	TRUE	29893148	302
SRR7975333	seedling	NK778		1	m084	TRUE	TRUE	28784107	302
SRR7975334	seedling	8M116		1	m085	TRUE	TRUE	11336883	302
SRR7975335	seedling	NC362		1	m086	TRUE	TRUE	28672242	302
SRR7975336	seedling	NC364		1	m087	TRUE	TRUE	26005629	302
SRR7975337	seedling	OQ603		1	m088	TRUE	TRUE	33864349	302
SRR7975338	seedling	NC222		1	m089	TRUE	TRUE	31945187	302
SRR7975339	seedling	PHBA6		1	m090	TRUE	TRUE	14294219	302
SRR7975340	seedling	Pa875		1	m091	TRUE	TRUE	29332263	302
SRR7975341	seedling	PHG71		1	m092	TRUE	TRUE	17946792	302
SRR7975342	seedling	LH223		1	m093	TRUE	TRUE	28592446	302
SRR7975343	seedling	PHHH9		1	m094	TRUE	TRUE	14522480	302
SRR7975344	seedling	PHG86		1	m095	TRUE	TRUE	11686034	302
SRR7975345	seedling	OS602		1	m096	TRUE	TRUE	26528822	302
SRR7975346	seedling	PHHV4		1	m097	TRUE	TRUE	13571481	302
SRR7975347	seedling	PHN34		1	m098	TRUE	TRUE	12009764	302
SRR7975348	seedling	PHR55		1	m099	TRUE	TRUE	9359421	302
SRR7975349	seedling	PHR30		1	m100	TRUE	TRUE	11279395	302
SRR7975350	seedling	PHR47		1	m101	TRUE	TRUE	10948600	302
SRR7975351	seedling	PHPR5		1	m102	TRUE	TRUE	12574112	302
SRR7975352	seedling	PHN41		1	m103	TRUE	TRUE	12795560	302
SRR7975353	seedling	PHRE1		1	m104	TRUE	TRUE	15411236	302
SRR7975354	seedling	PHR63		1	m105	TRUE	TRUE	14014194	302
SRR7975355	seedling	PHRD6		1	m106	TRUE	TRUE	18044870	302
SRR7975356	seedling	Q381		1	m107	TRUE	TRUE	14509229	302
SRR7975357	seedling	LH51		1	m108	TRUE	TRUE	33891985	302
SRR7975358	seedling	PHN37		1	m109	TRUE	TRUE	10390647	302
SRR7975359	seedling	PHJ75		1	m110	TRUE	TRUE	11504030	302
SRR7975360	seedling	PHK42		1	m111	TRUE	TRUE	11396811	302
SRR7975361	seedling	PHJ89		1	m112	TRUE	TRUE	9784924	302
SRR7975362	seedling	PHN29		1	m113	TRUE	TRUE	12021518	302
SRR7975363	seedling	AQA3		1	m114	TRUE	TRUE	30355056	302
SRR7975364	seedling	PHG83		1	m115	TRUE	TRUE	19414364	302
SRR7975365	seedling	ICI986		1	m116	TRUE	TRUE	14920267	302
SRR7975366	seedling	B76		1	m117	TRUE	TRUE	13326917	302
SRR7975367	seedling	Ill.Hy		1	m118	TRUE	TRUE	32401976	302
SRR7975368	seedling	PHV57		1	m119	TRUE	TRUE	20293844	302
SRR7975369	seedling	PHV07		1	m120	TRUE	TRUE	17826685	302
SRR7975370	seedling	PHW30		1	m121	TRUE	TRUE	18340791	302
SRR7975371	seedling	DKIB014		1	m122	TRUE	TRUE	14698423	302
SRR7975372	seedling	MM501D		1	m123	TRUE	TRUE	31843973	302
SRR7975373	seedling	ZS365		1	m124	TRUE	TRUE	18687964	302
SRR7975374	seedling	Va35		1	m125	TRUE	TRUE	12033821	302
SRR7975375	seedling	SA24		1	m126	TRUE	TRUE	10488623	302
SRR7975376	seedling	RS710		1	m127	TRUE	TRUE	14849078	302
SRR7975377	seedling	W613S		1	m128	TRUE	TRUE	15121529	302
SRR7975378	seedling	WIL903		1	m129	TRUE	TRUE	18539748	302
SRR7975379	seedling	W10007_0048		1	m130	TRUE	TRUE	11389386	302
SRR7975380	seedling	B121		1	m131	TRUE	TRUE	14725919	302
SRR7975381	seedling	LH128		1	m132	TRUE	TRUE	27384382	302
SRR7975382	seedling	A797NW		1	m133	TRUE	TRUE	31619957	302
SRR7975383	seedling	B46		1	m134	TRUE	TRUE	11084283	302
SRR7975384	seedling	CQ806		1	m135	TRUE	TRUE	35039933	302
SRR7975385	seedling	CG102		1	m136	TRUE	TRUE	19053564	302
SRR7975386	seedling	B73-2		1	m137	TRUE	TRUE	12042757	302
SRR7975387	seedling	B47		1	m138	TRUE	TRUE	20902468	302
SRR7975388	seedling	A344		1	m139	TRUE	TRUE	12204370	302
SRR7975389	seedling	B103		1	m140	TRUE	TRUE	14217381	302
SRR7975390	seedling	MM402A		1	m141	TRUE	TRUE	30939492	302
SRR7975391	seedling	ML606		1	m142	TRUE	TRUE	30034795	302
SRR7975392	seedling	MBSJ		1	m143	TRUE	TRUE	25351837	302
SRR7975393	seedling	Lp215D		1	m144	TRUE	TRUE	31687997	302
SRR7975394	seedling	LH208		1	m145	TRUE	TRUE	27823302	302
SRR7975395	seedling	N201		1	m146	TRUE	TRUE	27948595	302
SRR7975396	seedling	MS153		1	m147	TRUE	TRUE	32450565	302
SRR7975397	seedling	Mo8W		1	m148	TRUE	TRUE	31679394	302
SRR7975398	seedling	IBH9		1	m149	TRUE	TRUE	32227580	302
SRR7975399	seedling	MBZA		1	m150	TRUE	TRUE	32695371	302
SRR7975400	seedling	LH172		1	m151	TRUE	TRUE	30262209	302
SRR7975401	seedling	LH163		1	m152	TRUE	TRUE	31655756	302
SRR7975402	seedling	LH156		1	m153	TRUE	TRUE	26106179	302
SRR7975403	seedling	LH159		1	m154	TRUE	TRUE	32375919	302
SRR7975404	seedling	PHHB9-2		1	m155	TRUE	TRUE	26802271	302
SRR7975405	seedling	L578		1	m156	TRUE	TRUE	34073643	302
SRR7975406	seedling	907		1	m157	TRUE	TRUE	31901233	302
SRR7975407	seedling	PHHB4-2		1	m158	TRUE	TRUE	32809245	302
SRR7975408	seedling	LH212Ht		1	m159	TRUE	TRUE	30484613	302
SRR7975409	seedling	LH74		1	m160	TRUE	TRUE	30309430	302
SRR7975410	seedling	H105W		1	m161	TRUE	TRUE	31534154	302
SRR7975411	seedling	L222		1	m162	TRUE	TRUE	25578997	302
SRR7975412	seedling	8F196		1	m163	TRUE	TRUE	12541440	302
SRR7975413	seedling	6F545		1	m164	TRUE	TRUE	13343522	302
SRR7975414	seedling	WDAD1		1	m165	TRUE	TRUE	29634224	302
SRR7975415	seedling	LH162		1	m166	TRUE	TRUE	26427461	302
SRR7975416	seedling	DKFAPW		1	m167	TRUE	TRUE	18366796	302
SRR7975417	seedling	H42		1	m168	TRUE	TRUE	27639595	302
SRR7975418	seedling	84QAB1		1	m169	TRUE	TRUE	20332354	302
SRR7975419	seedling	84BRQ4		1	m170	TRUE	TRUE	13477536	302
SRR8043039	seedling	PHW65xMo17		1	m171	FALSE	FALSE	5942027	51
SRR8043040	seedling	PHG47xMo17		1	m172	TRUE	FALSE	28249912	302
SRR8043041	seedling	NKH8431xB73		1	m173	TRUE	FALSE	28443774	302
SRR8043042	seedling	PHG35xB73		1	m174	TRUE	FALSE	29445580	302
SRR8043043	seedling	PHG29xB73		1	m175	TRUE	FALSE	27667149	302
SRR8043044	endosperm	NC230xB73		1	m176	TRUE	FALSE	40880366	302
SRR8043045	root	PHG35xB73		1	m177	FALSE	FALSE	5494965	51
SRR8043046	leaf	Mo17xPHG29		1	m178	FALSE	FALSE	9446423	51
SRR8043047	root	LH145xB73		1	m179	TRUE	FALSE	32835475	302
SRR8043048	endosperm	PHG50xPH207		1	m180	FALSE	FALSE	6885702	51
SRR8043049	root	H99xMo17		1	m181	TRUE	FALSE	33351275	302
SRR8043050	root	LH123HTxMo17		1	m182	TRUE	FALSE	31407652	302
SRR8043051	root	LH123HTxB73		1	m183	TRUE	FALSE	33517894	302
SRR8043052	internode	LH156xMo17		1	m184	TRUE	FALSE	41294371	302
SRR8043053	seedling	PHW65xMo17		2	m171	TRUE	FALSE	27874887	302
SRR8043054	endosperm	Q381xB73		1	m185	TRUE	FALSE	24827356	302
SRR8043055	root	PHG50xB73		1	m186	FALSE	FALSE	5246562	51
SRR8043056	root	PHB47xB73		1	m187	FALSE	FALSE	5615124	51
SRR8043057	internode	LH156xMo17		2	m184	TRUE	FALSE	37335021	302
SRR8043058	root	PHG29xB73		1	m188	FALSE	FALSE	5412796	51
SRR8043059	endosperm	NC230xMo17		1	m189	FALSE	FALSE	5457051	51
SRR8043060	internode	LH85xB73		1	m190	TRUE	FALSE	33016532	302
SRR8043061	endosperm	PHG39xPH207		1	m191	TRUE	FALSE	29927738	302
SRR8043062	endosperm	B73xPH207		1	m192	FALSE	FALSE	4208198	51
SRR8043063	seedling	Q381xB73		1	m193	FALSE	FALSE	6018731	51
SRR8043064	endosperm	LH123HTxMo17		1	m194	TRUE	FALSE	40134958	302
SRR8043065	endosperm	DKFAPWxPH207		1	m195	TRUE	FALSE	34283432	302
SRR8043066	leaf	DKFAPWxB73		1	m196	FALSE	FALSE	6402142	51
SRR8043067	leaf	B84xMo17		1	m197	FALSE	FALSE	5407900	51
SRR8043068	seedling	PH207xB73		1	m198	FALSE	FALSE	4483401	51
SRR8043069	seedling	Oh43xB73		1	m199	FALSE	FALSE	4509931	51
SRR8043070	internode	Mo17xOh43		1	m200	FALSE	FALSE	5745699	51
SRR8043071	seedling	PHB47xB73		1	m201	FALSE	FALSE	3258120	51
SRR8043072	seedling	PHG35xB73		2	m174	FALSE	FALSE	3871595	51
SRR8043073	endosperm	PHJ40xPH207		1	m202	FALSE	FALSE	6952685	51
SRR8043074	seedling	NKS8326xB73		1	m203	FALSE	FALSE	4258470	51
SRR8043075	seedling	PHG47xMo17		2	m172	FALSE	FALSE	4346778	51
SRR8043076	leaf	Q381xB73		1	m204	TRUE	FALSE	31934248	302
SRR8043077	root	B84xB73		1	m205	TRUE	FALSE	32491566	302
SRR8043078	internode	Mo17xB73		1	m206	FALSE	FALSE	5863545	51
SRR8043079	internode	LH93xB73		1	m207	FALSE	FALSE	6159299	51
SRR8043080	internode	PHG47xB73		1	m208	TRUE	FALSE	36866309	302
SRR8043081	internode	LH145xB73		1	m209	FALSE	FALSE	7059614	51
SRR8043082	internode	PHN11xB73		1	m210	TRUE	FALSE	38349028	302
SRR8043083	internode	LH156xMo17		3	m184	FALSE	FALSE	6505062	51
SRR8043084	internode	PHJ40xB73		1	m211	TRUE	FALSE	37353630	302
SRR8043085	internode	PHJ40xMo17		1	m212	TRUE	FALSE	36313734	302
SRR8043086	internode	PHB47xB73		1	m213	FALSE	FALSE	5779596	51
SRR8043087	internode	Oh43xB73		1	m214	FALSE	FALSE	6264211	51
SRR8043088	endosperm	CR1HTxPH207		1	m215	FALSE	FALSE	3785510	51
SRR8043089	leaf	PHN11xMo17		1	m216	TRUE	FALSE	31426808	302
SRR8043090	leaf	W64AxMo17XB73		1	m217	TRUE	FALSE	33617183	302
SRR8043091	root	B84xMo17		1	m218	TRUE	FALSE	31747022	302
SRR8043092	endosperm	LH145xMo17		1	m219	FALSE	FALSE	2620162	51
SRR8043093	root	DKFAPWxB73		1	m220	TRUE	FALSE	36506843	302
SRR8043094	internode	NKS8326xMo17		1	m221	TRUE	FALSE	30197513	302
SRR8043095	internode	PHB47xMo17		1	m222	TRUE	FALSE	37412287	302
SRR8043096	internode	PHB47xB73		2	m213	TRUE	FALSE	27620058	302
SRR8043097	internode	Oh43xB73		2	m214	TRUE	FALSE	28032675	302
SRR8043098	internode	PHG35xB73		1	m223	TRUE	FALSE	30249230	302
SRR8043099	internode	MoGxB73		1	m224	FALSE	FALSE	3017189	51
SRR8043100	internode	PHG29xB73		1	m225	TRUE	FALSE	29509602	302
SRR8043101	internode	PHG35xMo17		1	m226	TRUE	FALSE	40863888	302
SRR8043102	internode	NKS8326xMo17		2	m221	FALSE	FALSE	5741277	51
SRR8043103	internode	NKH8431xB73		1	m227	FALSE	FALSE	953735	51
SRR8043104	seedling	PHG39xB73		1	m228	FALSE	FALSE	3990695	51
SRR8043105	seedling	NKS8326xMo17		1	m229	FALSE	FALSE	5662969	51
SRR8043106	endosperm	NKS8326xPH207		1	m230	TRUE	FALSE	33393815	302
SRR8043107	seedling	PHJ40xB73		1	m231	FALSE	FALSE	5916488	51
SRR8043108	leaf	H99xB73		1	m232	FALSE	FALSE	4807807	51
SRR8043109	leaf	H99xMo17		1	m233	FALSE	FALSE	8061558	51
SRR8043110	internode	Mo45xMo17		1	m234	FALSE	FALSE	6930917	51
SRR8043111	endosperm	DKFAPWxB73		1	m235	TRUE	FALSE	38757867	302
SRR8043112	endosperm	DKFAPWxMo17		1	m236	TRUE	FALSE	38541013	302
SRR8043113	root	LH93xB73		1	m237	FALSE	FALSE	6716471	51
SRR8043114	endosperm	H99xB73		1	m238	TRUE	FALSE	29619581	302
SRR8043115	root	MoGxMo17		1	m239	FALSE	FALSE	7629686	51
SRR8043116	root	PHG35xMo17		1	m240	TRUE	FALSE	30762514	302
SRR8043117	root	NKH8431xB73		1	m241	FALSE	FALSE	5604078	51
SRR8043118	root	LH93xMo17		1	m242	FALSE	FALSE	6161429	51
SRR8043119	root	W64AxB73		1	m243	FALSE	FALSE	4252215	51
SRR8043120	internode	MoGxMo17		1	m244	FALSE	FALSE	6134497	51
SRR8043121	leaf	LH123HTxB73		1	m245	TRUE	FALSE	34866024	302
SRR8043122	internode	PHB47xMo17		2	m222	FALSE	FALSE	6207836	51
SRR8043123	endosperm	CR1HTxPH207		2	m215	TRUE	FALSE	33022449	302
SRR8043124	endosperm	LH145xMo17		2	m219	TRUE	FALSE	25515030	302
SRR8043125	seedling	W64AxMo17		1	m246	FALSE	FALSE	5247917	51
SRR8043126	internode	NKS8326xB73		1	m247	FALSE	FALSE	5438894	51
SRR8043127	endosperm	PHG39xMo17		1	m248	FALSE	FALSE	4502003	51
SRR8043128	root	MoGxB73		1	m249	FALSE	FALSE	6138730	51
SRR8043129	seedling	PHG50xMo17		1	m250	TRUE	FALSE	44292651	302
SRR8043130	seedling	B84xB73		1	m251	TRUE	FALSE	35696553	302
SRR8043131	seedling	H99xMo17		1	m252	TRUE	FALSE	33926973	302
SRR8043132	seedling	DKFAPWxMo17		1	m253	TRUE	FALSE	34199354	302
SRR8043133	internode	PHW65xMo17		1	m254	TRUE	FALSE	31707042	302
SRR8043134	internode	PHW65xB73		1	m255	TRUE	FALSE	38138929	302
SRR8043135	root	PHG47xMo17		1	m256	TRUE	FALSE	40386168	302
SRR8043136	seedling	PHG39xMo17		1	m257	TRUE	FALSE	31543150	302
SRR8043137	seedling	PHG35xMo17		1	m258	TRUE	FALSE	30516380	302
SRR8043138	seedling	PHB47xMo17		1	m259	TRUE	FALSE	29760276	302
SRR8043139	seedling	MoGxMo17		1	m260	TRUE	FALSE	30163504	302
SRR8043140	leaf	Mo17xPHG29		2	m178	TRUE	FALSE	39418878	302
SRR8043141	seedling	Mo44xMo17		1	m261	TRUE	FALSE	32876815	302
SRR8043142	seedling	Mo17xPHG29		1	m262	TRUE	FALSE	30209422	302
SRR8043143	seedling	Mo17xOh43		1	m263	TRUE	FALSE	33601217	302
SRR8043144	seedling	PHJ40xB73		2	m231	TRUE	FALSE	29106837	302
SRR8043145	seedling	PHW65xB73		1	m264	TRUE	FALSE	35449095	302
SRR8043146	seedling	PHG50xB73		1	m265	TRUE	FALSE	31330792	302
SRR8043147	endosperm	PHG29xMo17		1	m266	FALSE	FALSE	5107703	51
SRR8043148	endosperm	PHG29xB73		1	m267	FALSE	FALSE	6845118	51
SRR8043149	leaf	NKS8326xMo17		1	m268	TRUE	FALSE	48038462	302
SRR8043150	leaf	Oh43xB73		1	m269	TRUE	FALSE	51276266	302
SRR8043151	endosperm	PHG29xPH207		1	m270	FALSE	FALSE	18035784	51
SRR8043152	root	LH156xB73		1	m271	FALSE	FALSE	6295400	51
SRR8043153	leaf	MoGxMo17		1	m272	TRUE	FALSE	29624562	302
SRR8043154	leaf	NKH8431xB73		1	m273	TRUE	FALSE	42629540	302
SRR8043155	leaf	PH207xB73		1	m274	TRUE	FALSE	45517421	302
SRR8043156	leaf	MoGxB73		1	m275	TRUE	FALSE	28148264	302
SRR8043157	endosperm	CR1HTxMo17		1	m276	FALSE	FALSE	3422213	51
SRR8043158	seedling	MoGxMo17		2	m260	FALSE	FALSE	6428547	51
SRR8043159	endosperm	Oh43xPH207		1	m277	TRUE	FALSE	34425285	302
SRR8043160	endosperm	PHB47xPH207		1	m278	TRUE	FALSE	35249661	302
SRR8043161	endosperm	PHG29xB73		2	m267	TRUE	FALSE	36758397	302
SRR8043162	endosperm	PH207xMo17		1	m279	TRUE	FALSE	35871365	302
SRR8043163	endosperm	Mo17xB73		1	m280	TRUE	FALSE	45850442	302
SRR8043164	seedling	Mo44xMo17		2	m261	FALSE	FALSE	7277174	51
SRR8043165	endosperm	PH207xB73		1	m281	TRUE	FALSE	32555943	302
SRR8043166	endosperm	Oh43xB73		1	m282	FALSE	FALSE	4130657	51
SRR8043167	endosperm	LH123HTxMo17		2	m194	FALSE	FALSE	4000992	51
SRR8043168	seedling	LH156xB73		1	m283	FALSE	FALSE	5515583	51
SRR8043169	internode	H99xB73		1	m284	FALSE	FALSE	10117023	51
SRR8043170	root	PHB47xMo17		1	m285	FALSE	FALSE	4862774	51
SRR8043171	endosperm	NC230xPH207		1	m286	TRUE	FALSE	30133176	302
SRR8043172	endosperm	Ny821xMo17		1	m287	FALSE	FALSE	4060649	51
SRR8043173	endosperm	MoGxMo17		1	m288	FALSE	FALSE	5239840	51
SRR8043174	endosperm	B84xB73		1	m289	FALSE	FALSE	4977167	51
SRR8043175	endosperm	Q381xPH207		1	m290	FALSE	FALSE	5559886	51
SRR8043176	leaf	Mo17xPHG29		3	m178	FALSE	FALSE	5420672	51
SRR8043177	endosperm	Mo45xMo17		1	m291	FALSE	FALSE	4842858	51
SRR8043178	endosperm	PHG50xMo17		1	m292	TRUE	FALSE	41124437	302
SRR8043179	leaf	LH123HTxMo17		1	m293	TRUE	FALSE	42264150	302
SRR8043180	seedling	Mo44xB73		1	m294	TRUE	FALSE	32510588	302
SRR8043181	internode	Mo17xPHG29		1	m295	FALSE	FALSE	5865807	51
SRR8043182	seedling	Mo45xB73		1	m296	TRUE	FALSE	35650357	302
SRR8043183	leaf	LH156xMo17		1	m297	TRUE	FALSE	33725194	302
SRR8043184	leaf	LH85xB73		1	m298	TRUE	FALSE	35756130	302
SRR8043185	leaf	Q381xB73		2	m204	FALSE	FALSE	6909937	51
SRR8043186	leaf	LH156xB73		1	m299	TRUE	FALSE	34849745	302
SRR8043187	leaf	LH156xMo17		2	m297	FALSE	FALSE	6120955	51
SRR8043188	root	LH93xB73		2	m237	TRUE	FALSE	33214821	302
SRR8043189	leaf	LH145xB73		1	m300	TRUE	FALSE	30594145	302
SRR8043190	leaf	Mo45xMo17		1	m301	TRUE	FALSE	31383178	302
SRR8043191	endosperm	Oh43xMo17		1	m302	FALSE	FALSE	4873591	51
SRR8043192	internode	H99xMo17		1	m303	FALSE	FALSE	6072871	51
SRR8043193	endosperm	PHG35xB73		1	m304	FALSE	FALSE	2413666	51
SRR8043194	endosperm	PHG50xMo17		2	m292	FALSE	FALSE	4788824	51
SRR8043195	endosperm	PHG83xPH207		1	m305	FALSE	FALSE	6760812	51
SRR8043196	leaf	LH156xB73		2	m299	FALSE	FALSE	10708255	51
SRR8043197	endosperm	PHG83xMo17		1	m306	FALSE	FALSE	6636413	51
SRR8043198	endosperm	PHG72xB73		1	m307	FALSE	FALSE	6410608	51
SRR8043199	endosperm	NC230xB73		2	m176	FALSE	FALSE	4358881	51
SRR8043200	endosperm	NC230xB73		3	m176	FALSE	FALSE	5637508	51
SRR8043201	leaf	PHG47xB73		1	m308	TRUE	FALSE	35454049	302
SRR8043202	internode	Mo17xPH207		1	m309	FALSE	FALSE	6692889	51
SRR8043203	leaf	DKFAPWxMo17		1	m310	TRUE	FALSE	33605843	302
SRR8043204	root	DKFAPWxB73		2	m220	FALSE	FALSE	4395728	51
SRR8043205	endosperm	Q381xB73		2	m185	FALSE	FALSE	6136062	51
SRR8043206	root	B84xMo17		2	m218	FALSE	FALSE	7752635	51
SRR8043207	leaf	H99xB73		2	m232	TRUE	FALSE	40618032	302
SRR8043208	leaf	H99xMo17		2	m233	TRUE	FALSE	32787466	302
SRR8043209	endosperm	PHW65xB73		1	m311	TRUE	FALSE	32822144	302
SRR8043210	root	PHG39xMo17		1	m312	FALSE	FALSE	7384528	51
SRR8043211	endosperm	PHW65xPH207		1	m313	TRUE	FALSE	47425903	302
SRR8043212	endosperm	W64AxPH207		1	m314	TRUE	FALSE	49424782	302
SRR8043213	endosperm	Q381xMo17		1	m315	TRUE	FALSE	39132590	302
SRR8043214	endosperm	Mo45xPH207		1	m316	FALSE	FALSE	6348723	51
SRR8043215	endosperm	PHN11xPH207		1	m317	TRUE	FALSE	34736571	302
SRR8043216	endosperm	PHW65xMo17		1	m318	TRUE	FALSE	50621700	302
SRR8043217	endosperm	Q381xPH207		2	m290	TRUE	FALSE	42781794	302
SRR8043218	root	PHG39xB73		1	m319	FALSE	FALSE	5712711	51
SRR8043219	seedling	H99xB73		1	m320	TRUE	FALSE	38166275	302
SRR8043220	seedling	DKFAPWxB73		1	m321	TRUE	FALSE	38506096	302
SRR8043221	endosperm	Oh43xB73		2	m282	TRUE	FALSE	31223360	302
SRR8043222	endosperm	Oh43xMo17		2	m302	TRUE	FALSE	31629617	302
SRR8043223	endosperm	PHG50xB73		1	m322	TRUE	FALSE	32896145	302
SRR8043224	endosperm	PHG35xB73		2	m304	TRUE	FALSE	36372629	302
SRR8043225	internode	LH93xMo17		1	m323	FALSE	FALSE	3387730	51
